TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Þanlýurfa;;;;;
Akçakale;;Erkek;Kadýn;Toplam;
Doktora;;17;5;22;
Bilinmeyen;;78;221;299;
Toplam;;22.020;23.303;45.323;
Eyyübiye;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;4.303;26.217;30.520;
Okuma yazma bilen fakat bir okul bitirmeyen;;9.613;25.432;35.045;
Ýlkokul;;18.617;16.507;35.124;
Ýlköðretim;;30.520;11.939;42.459;
Ortaokul veya dengi okul;;9.998;4.396;14.394;
Lise veya dengi okul;;12.824;6.425;19.249;
Yüksekokul veya fakülte;;5.185;2.172;7.357;
Yüksek lisans;;222;61;283;
Doktora;;77;33;110;
Bilinmeyen;;832;1.599;2.431;
Toplam;;92.191;94.781;186.972;
Halfeti;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;606;2.579;3.185;
Okuma yazma bilen fakat bir okul bitirmeyen;;994;1.825;2.819;
Ýlkokul;;3.088;3.228;6.316;
Ýlköðretim;;2.544;2.055;4.599;
Ortaokul veya dengi okul;;1.138;750;1.888;
Lise veya dengi okul;;1.644;1.399;3.043;
Yüksekokul veya fakülte;;825;633;1.458;
Yüksek lisans;;55;21;76;
Doktora;;11;3;14;
Bilinmeyen;;115;50;165;
Toplam;;11.020;12.543;23.563;
Haliliye;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;2.434;16.322;18.756;
Okuma yazma bilen fakat bir okul bitirmeyen;;5.252;18.739;23.991;
Ýlkokul;;14.880;22.783;37.663;
Ýlköðretim;;28.088;15.277;43.365;
Ortaokul veya dengi okul;;11.425;6.125;17.550;
Lise veya dengi okul;;24.201;15.192;39.393;
Yüksekokul veya fakülte;;14.720;9.185;23.905;
Yüksek lisans;;1.269;567;1.836;
Doktora;;308;137;445;
Bilinmeyen;;924;1.650;2.574;
Toplam;;103.501;105.977;209.478;
Harran;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;680;5.930;6.610;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.696;6.450;8.146;
Ýlkokul;;4.694;2.716;7.410;
Ýlköðretim;;5.427;2.158;7.585;
Ortaokul veya dengi okul;;2.345;869;3.214;
Lise veya dengi okul;;2.377;536;2.913;
Yüksekokul veya fakülte;;1.076;378;1.454;
Yüksek lisans;;49;16;65;
Doktora;;7;3;10;
Bilinmeyen;;45;283;328;
Toplam;;18.396;19.339;37.735;
Hilvan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;495;2.698;3.193;
Okuma yazma bilen fakat bir okul bitirmeyen;;911;2.383;3.294;
Ýlkokul;;2.590;2.458;5.048;
Ýlköðretim;;3.129;1.769;4.898;
Ortaokul veya dengi okul;;1.498;741;2.239;
Lise veya dengi okul;;2.588;1.592;4.180;
Yüksekokul veya fakülte;;1.355;743;2.098;
Yüksek lisans;;88;20;108;
Doktora;;13;9;22;
Bilinmeyen;;19;32;51;
Toplam;;12.686;12.445;25.131;
Karaköprü;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;752;4.539;5.291;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.371;5.011;6.382;
Ýlkokul;;5.582;10.146;15.728;
Ýlköðretim;;7.782;7.038;14.820;
Ortaokul veya dengi okul;;4.756;3.459;8.215;
Lise veya dengi okul;;14.335;10.980;25.315;
Yüksekokul veya fakülte;;14.896;10.569;25.465;
Yüksek lisans;;1.914;898;2.812;
Doktora;;398;151;549;
Bilinmeyen;;312;505;817;
Toplam;;52.098;53.296;105.394;
Siverek;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;3.848;17.283;21.131;
Okuma yazma bilen fakat bir okul bitirmeyen;;9.360;16.332;25.692;
Ýlkokul;;13.003;10.176;23.179;
Ýlköðretim;;16.231;8.525;24.756;
Ortaokul veya dengi okul;;6.347;3.997;10.344;
Lise veya dengi okul;;10.955;7.784;18.739;
Yüksekokul veya fakülte;;5.974;4.216;10.190;
Yüksek lisans;;384;155;539;
Doktora;;32;20;52;
Bilinmeyen;;116;197;313;
Toplam;;66.250;68.685;134.935;
Suruç;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.340;7.023;8.363;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.593;6.418;9.011;
Ýlkokul;;5.766;5.482;11.248;
Ýlköðretim;;6.913;3.947;10.860;
Ortaokul veya dengi okul;;3.073;1.699;4.772;
Lise veya dengi okul;;6.259;2.974;9.233;
Yüksekokul veya fakülte;;2.692;1.210;3.902;
Yüksek lisans;;127;20;147;
Doktora;;9;4;13;
Bilinmeyen;;60;103;163;
Toplam;;28.832;28.880;57.712;
Viranþehir;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;2.268;13.125;15.393;
Okuma yazma bilen fakat bir okul bitirmeyen;;6.423;14.302;20.725;
Ýlkokul;;9.875;7.772;17.647;
Ýlköðretim;;11.859;6.365;18.224;
Ortaokul veya dengi okul;;4.503;2.576;7.079;
Lise veya dengi okul;;7.887;4.582;12.469;
Yüksekokul veya fakülte;;3.774;2.126;5.900;
Yüksek lisans;;312;97;409;
Doktora;;25;14;39;
Bilinmeyen;;332;665;997;
Toplam;;47.258;51.624;98.882;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
