TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Kahramanmaraþ;;;;;
Afþin;;Erkek;Kadýn;Toplam;
Onikiþubat;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;2.113;11.390;13.503;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.978;7.951;10.929;
Ýlkokul;;20.064;31.227;51.291;
Ýlköðretim;;23.840;20.835;44.675;
Ortaokul veya dengi okul;;14.520;10.548;25.068;
Lise veya dengi okul;;36.456;27.805;64.261;
Yüksekokul veya fakülte;;25.746;19.717;45.463;
Yüksek lisans;;3.106;1.767;4.873;
Doktora;;762;298;1.060;
Bilinmeyen;;726;835;1.561;
Toplam;;130.311;132.373;262.684;
Pazarcýk;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.111;4.537;5.648;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.495;2.221;3.716;
Ýlkokul;;6.500;6.876;13.376;
Ýlköðretim;;4.583;3.243;7.826;
Ortaokul veya dengi okul;;2.374;1.397;3.771;
Lise veya dengi okul;;4.072;2.960;7.032;
Yüksekokul veya fakülte;;1.925;1.444;3.369;
Yüksek lisans;;128;64;192;
Doktora;;11;9;20;
Bilinmeyen;;319;340;659;
Toplam;;22.518;23.091;45.609;
Türkoðlu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;476;2.802;3.278;
Okuma yazma bilen fakat bir okul bitirmeyen;;740;1.870;2.610;
Ýlkokul;;5.307;7.521;12.828;
Ýlköðretim;;5.684;4.171;9.855;
Ortaokul veya dengi okul;;2.957;1.599;4.556;
Lise veya dengi okul;;5.346;2.962;8.308;
Yüksekokul veya fakülte;;1.865;1.245;3.110;
Yüksek lisans;;117;46;163;
Doktora;;9;8;17;
Bilinmeyen;;146;137;283;
Toplam;;22.647;22.361;45.008;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
