TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Isparta;;;;;
Aksu;;Erkek;Kadýn;Toplam;
Okuma yazma bilen fakat bir okul bitirmeyen;;187;572;759;
Ýlkokul;;1.812;1.815;3.627;
Ýlköðretim;;564;361;925;
Ortaokul veya dengi okul;;422;292;714;
Lise veya dengi okul;;766;390;1.156;
Yüksekokul veya fakülte;;370;241;611;
Yüksek lisans;;22;7;29;
Doktora;;3;1;4;
Bilinmeyen;;6;11;17;
Toplam;;4.250;4.413;8.663;
Þarkikaraaðaç;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;101;777;878;
Okuma yazma bilen fakat bir okul bitirmeyen;;236;866;1.102;
Ýlkokul;;3.116;4.553;7.669;
Ýlköðretim;;1.163;1.048;2.211;
Ortaokul veya dengi okul;;1.017;619;1.636;
Lise veya dengi okul;;2.586;1.351;3.937;
Yüksekokul veya fakülte;;1.182;761;1.943;
Yüksek lisans;;77;35;112;
Doktora;;11;5;16;
Bilinmeyen;;94;95;189;
Toplam;;9.583;10.110;19.693;
Uluborlu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;12;99;111;
Okuma yazma bilen fakat bir okul bitirmeyen;;34;120;154;
Ýlkokul;;551;1.005;1.556;
Ýlköðretim;;196;190;386;
Ortaokul veya dengi okul;;298;192;490;
Lise veya dengi okul;;929;657;1.586;
Yüksekokul veya fakülte;;433;289;722;
Yüksek lisans;;17;11;28;
Doktora;;8;2;10;
Bilinmeyen;;11;10;21;
Toplam;;2.489;2.575;5.064;
Yalvaç;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;233;1.664;1.897;
Okuma yazma bilen fakat bir okul bitirmeyen;;431;1.339;1.770;
Ýlkokul;;5.412;7.238;12.650;
Ýlköðretim;;2.529;2.231;4.760;
Ortaokul veya dengi okul;;1.932;1.172;3.104;
Lise veya dengi okul;;4.010;2.608;6.618;
Yüksekokul veya fakülte;;2.036;1.442;3.478;
Yüksek lisans;;156;98;254;
Doktora;;29;11;40;
Bilinmeyen;;203;197;400;
Toplam;;16.971;18.000;34.971;
Yeniþarbademli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;6;33;39;
Okuma yazma bilen fakat bir okul bitirmeyen;;18;67;85;
Ýlkokul;;240;523;763;
Ýlköðretim;;65;43;108;
Ortaokul veya dengi okul;;106;59;165;
Lise veya dengi okul;;258;100;358;
Yüksekokul veya fakülte;;161;70;231;
Yüksek lisans;;6;4;10;
Doktora;;0;0;0;
Bilinmeyen;;5;5;10;
Toplam;;865;904;1.769;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
