TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Eskiþehir;;;;;
Alpu;;Erkek;Kadýn;Toplam;
Bilinmeyen;;4;17;21;
Toplam;;2.402;2.523;4.925;
Han;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;22;150;172;
Okuma yazma bilen fakat bir okul bitirmeyen;;22;87;109;
Ýlkokul;;362;384;746;
Ýlköðretim;;81;55;136;
Ortaokul veya dengi okul;;112;48;160;
Lise veya dengi okul;;191;78;269;
Yüksekokul veya fakülte;;82;41;123;
Yüksek lisans;;6;2;8;
Doktora;;0;0;0;
Bilinmeyen;;9;7;16;
Toplam;;887;852;1.739;
Ýnönü;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;21;160;181;
Okuma yazma bilen fakat bir okul bitirmeyen;;59;194;253;
Ýlkokul;;902;1.301;2.203;
Ýlköðretim;;282;270;552;
Ortaokul veya dengi okul;;305;183;488;
Lise veya dengi okul;;840;385;1.225;
Yüksekokul veya fakülte;;258;152;410;
Yüksek lisans;;9;7;16;
Doktora;;-;4;4;
Bilinmeyen;;9;11;20;
Toplam;;2.685;2.667;5.352;
Mahmudiye;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;36;267;303;
Okuma yazma bilen fakat bir okul bitirmeyen;;66;264;330;
Ýlkokul;;889;1.194;2.083;
Ýlköðretim;;372;300;672;
Ortaokul veya dengi okul;;416;184;600;
Lise veya dengi okul;;727;463;1.190;
Yüksekokul veya fakülte;;319;187;506;
Yüksek lisans;;15;4;19;
Doktora;;-;1;1;
Bilinmeyen;;32;28;60;
Toplam;;2.872;2.892;5.764;
Mihalgazi;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;10;69;79;
Okuma yazma bilen fakat bir okul bitirmeyen;;22;106;128;
Ýlkokul;;551;772;1.323;
Ýlköðretim;;139;103;242;
Ortaokul veya dengi okul;;130;68;198;
Lise veya dengi okul;;299;165;464;
Yüksekokul veya fakülte;;109;76;185;
Yüksek lisans;;6;4;10;
Doktora;;-;1;1;
Bilinmeyen;;2;10;12;
Toplam;;1.268;1.374;2.642;
Mihalýççýk;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;41;237;278;
Okuma yazma bilen fakat bir okul bitirmeyen;;136;510;646;
Ýlkokul;;1.327;1.775;3.102;
Ýlköðretim;;450;299;749;
Ortaokul veya dengi okul;;472;188;660;
Lise veya dengi okul;;736;317;1.053;
Yüksekokul veya fakülte;;278;167;445;
Yüksek lisans;;24;1;25;
Doktora;;4;1;5;
Bilinmeyen;;15;22;37;
Toplam;;3.483;3.517;7.000;
Odunpazarý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;516;4.387;4.903;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.047;4.030;5.077;
Ýlkokul;;20.141;41.652;61.793;
Ýlköðretim;;15.771;15.450;31.221;
Ortaokul veya dengi okul;;14.144;12.674;26.818;
Lise veya dengi okul;;51.661;39.480;91.141;
Yüksekokul veya fakülte;;33.773;29.842;63.615;
Yüksek lisans;;3.538;3.300;6.838;
Doktora;;1.111;896;2.007;
Bilinmeyen;;1.298;1.371;2.669;
Toplam;;143.000;153.082;296.082;
Sarýcakaya;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;30;210;240;
Okuma yazma bilen fakat bir okul bitirmeyen;;66;189;255;
Ýlkokul;;791;1.002;1.793;
Ýlköðretim;;191;247;438;
Ortaokul veya dengi okul;;169;109;278;
Lise veya dengi okul;;480;238;718;
Yüksekokul veya fakülte;;195;108;303;
Yüksek lisans;;12;7;19;
Doktora;;2;1;3;
Bilinmeyen;;6;7;13;
Toplam;;1.942;2.118;4.060;
Seyitgazi;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;59;419;478;
Okuma yazma bilen fakat bir okul bitirmeyen;;86;364;450;
Ýlkokul;;2.107;2.804;4.911;
Ýlköðretim;;670;449;1.119;
Ortaokul veya dengi okul;;599;347;946;
Lise veya dengi okul;;1.472;647;2.119;
Yüksekokul veya fakülte;;416;274;690;
Yüksek lisans;;26;10;36;
Doktora;;5;6;11;
Bilinmeyen;;14;19;33;
Toplam;;5.454;5.339;10.793;
Sivrihisar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;77;576;653;
Okuma yazma bilen fakat bir okul bitirmeyen;;142;514;656;
Ýlkokul;;2.958;4.297;7.255;
Ýlköðretim;;864;737;1.601;
Ortaokul veya dengi okul;;963;465;1.428;
Lise veya dengi okul;;2.061;1.077;3.138;
Yüksekokul veya fakülte;;806;566;1.372;
Yüksek lisans;;54;40;94;
Doktora;;7;5;12;
Bilinmeyen;;54;40;94;
Toplam;;7.986;8.317;16.303;
Tepebaþý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;501;4.154;4.655;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.062;4.202;5.264;
Ýlkokul;;20.065;38.311;58.376;
Ýlköðretim;;14.567;13.526;28.093;
Ortaokul veya dengi okul;;12.943;10.478;23.421;
Lise veya dengi okul;;49.317;34.604;83.921;
Yüksekokul veya fakülte;;27.933;24.533;52.466;
Yüksek lisans;;2.833;2.562;5.395;
Doktora;;1.083;895;1.978;
Bilinmeyen;;864;998;1.862;
Toplam;;131.168;134.263;265.431;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
