TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Mersin;;;;;
Akdeniz;;Erkek;Kadýn;Toplam;
Ýlkokul;;28.339;37.314;65.653;
Ýlköðretim;;22.289;15.099;37.388;
Ortaokul veya dengi okul;;11.310;7.987;19.297;
Lise veya dengi okul;;28.929;23.693;52.622;
Yüksekokul veya fakülte;;16.291;14.104;30.395;
Yüksek lisans;;1.025;666;1.691;
Doktora;;112;80;192;
Bilinmeyen;;356;395;751;
Toplam;;114.546;119.827;234.373;
Toroslar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.078;6.231;7.309;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.972;9.937;12.909;
Ýlkokul;;21.139;30.465;51.604;
Ýlköðretim;;21.117;14.986;36.103;
Ortaokul veya dengi okul;;12.316;8.567;20.883;
Lise veya dengi okul;;28.335;21.277;49.612;
Yüksekokul veya fakülte;;12.277;10.342;22.619;
Yüksek lisans;;589;389;978;
Doktora;;71;55;126;
Bilinmeyen;;548;547;1.095;
Toplam;;100.442;102.796;203.238;
Yeniþehir;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;401;2.623;3.024;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.148;4.297;5.445;
Ýlkokul;;10.176;17.011;27.187;
Ýlköðretim;;8.903;7.384;16.287;
Ortaokul veya dengi okul;;7.712;7.154;14.866;
Lise veya dengi okul;;27.773;27.651;55.424;
Yüksekokul veya fakülte;;25.018;24.301;49.319;
Yüksek lisans;;2.591;2.260;4.851;
Doktora;;577;404;981;
Bilinmeyen;;910;925;1.835;
Toplam;;85.209;94.010;179.219;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
