TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Van;;;;;
Bahçesaray;;Erkek;Kadýn;Toplam;
Ortaokul veya dengi okul;;3.726;2.543;6.269;
Lise veya dengi okul;;9.729;6.845;16.574;
Yüksekokul veya fakülte;;7.259;4.153;11.412;
Yüksek lisans;;564;203;767;
Doktora;;48;24;72;
Bilinmeyen;;150;346;496;
Toplam;;37.316;38.381;75.697;
Erciþ;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.548;8.708;10.256;
Okuma yazma bilen fakat bir okul bitirmeyen;;5.690;11.749;17.439;
Ýlkokul;;11.206;10.906;22.112;
Ýlköðretim;;11.195;5.403;16.598;
Ortaokul veya dengi okul;;5.470;2.711;8.181;
Lise veya dengi okul;;9.375;4.989;14.364;
Yüksekokul veya fakülte;;4.891;2.587;7.478;
Yüksek lisans;;340;111;451;
Doktora;;36;23;59;
Bilinmeyen;;173;484;657;
Toplam;;49.924;47.671;97.595;
Gevaþ;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;143;949;1.092;
Okuma yazma bilen fakat bir okul bitirmeyen;;429;1.595;2.024;
Ýlkokul;;1.717;2.614;4.331;
Ýlköðretim;;2.031;1.577;3.608;
Ortaokul veya dengi okul;;1.085;514;1.599;
Lise veya dengi okul;;2.066;1.189;3.255;
Yüksekokul veya fakülte;;1.069;512;1.581;
Yüksek lisans;;63;20;83;
Doktora;;15;3;18;
Bilinmeyen;;21;50;71;
Toplam;;8.639;9.023;17.662;
Gürpýnar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;418;1.872;2.290;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.434;3.470;4.904;
Ýlkokul;;2.593;1.723;4.316;
Ýlköðretim;;2.722;1.327;4.049;
Ortaokul veya dengi okul;;1.030;491;1.521;
Lise veya dengi okul;;1.677;787;2.464;
Yüksekokul veya fakülte;;733;256;989;
Yüksek lisans;;30;8;38;
Doktora;;5;4;9;
Bilinmeyen;;32;66;98;
Toplam;;10.674;10.004;20.678;
Ýpekyolu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;2.170;12.882;15.052;
Okuma yazma bilen fakat bir okul bitirmeyen;;4.889;15.929;20.818;
Ýlkokul;;11.041;16.178;27.219;
Ýlköðretim;;21.573;13.816;35.389;
Ortaokul veya dengi okul;;9.306;6.105;15.411;
Lise veya dengi okul;;24.452;16.891;41.343;
Yüksekokul veya fakülte;;15.874;10.335;26.209;
Yüksek lisans;;1.788;730;2.518;
Doktora;;302;112;414;
Bilinmeyen;;325;826;1.151;
Toplam;;91.720;93.804;185.524;
Muradiye;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;431;2.615;3.046;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.694;3.691;5.385;
Ýlkokul;;3.371;2.899;6.270;
Ýlköðretim;;3.530;1.582;5.112;
Ortaokul veya dengi okul;;1.471;633;2.104;
Lise veya dengi okul;;2.501;1.162;3.663;
Yüksekokul veya fakülte;;1.076;594;1.670;
Yüksek lisans;;72;20;92;
Doktora;;5;6;11;
Bilinmeyen;;25;68;93;
Toplam;;14.176;13.270;27.446;
Özalp;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;830;4.312;5.142;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.265;4.692;6.957;
Ýlkokul;;4.708;3.142;7.850;
Ýlköðretim;;5.599;2.492;8.091;
Ortaokul veya dengi okul;;1.704;762;2.466;
Lise veya dengi okul;;1.952;1.010;2.962;
Yüksekokul veya fakülte;;857;566;1.423;
Yüksek lisans;;42;20;62;
Doktora;;1;1;2;
Bilinmeyen;;57;209;266;
Toplam;;18.015;17.206;35.221;
Saray;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;189;828;1.017;
Okuma yazma bilen fakat bir okul bitirmeyen;;585;1.545;2.130;
Ýlkokul;;1.875;1.543;3.418;
Ýlköðretim;;1.911;915;2.826;
Ortaokul veya dengi okul;;458;209;667;
Lise veya dengi okul;;684;381;1.065;
Yüksekokul veya fakülte;;300;160;460;
Yüksek lisans;;12;3;15;
Doktora;;5;2;7;
Bilinmeyen;;17;29;46;
Toplam;;6.036;5.615;11.651;
Tuþba;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;935;5.890;6.825;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.179;8.341;10.520;
Ýlkokul;;6.346;9.090;15.436;
Ýlköðretim;;12.782;6.772;19.554;
Ortaokul veya dengi okul;;4.857;2.609;7.466;
Lise veya dengi okul;;10.191;6.432;16.623;
Yüksekokul veya fakülte;;5.567;3.199;8.766;
Yüksek lisans;;551;245;796;
Doktora;;499;193;692;
Bilinmeyen;;118;266;384;
Toplam;;44.025;43.037;87.062;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
