TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Muðla;;;;;
Bodrum;;Erkek;Kadýn;Toplam;
Lise veya dengi okul;;630;521;1.151;
Yüksekokul veya fakülte;;344;272;616;
Yüksek lisans;;21;11;32;
Doktora;;5;2;7;
Bilinmeyen;;3;1;4;
Toplam;;4.059;4.193;8.252;
Köyceðiz;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;57;368;425;
Okuma yazma bilen fakat bir okul bitirmeyen;;349;1.017;1.366;
Ýlkokul;;3.745;4.873;8.618;
Ýlköðretim;;2.660;1.935;4.595;
Ortaokul veya dengi okul;;1.285;982;2.267;
Lise veya dengi okul;;3.261;2.458;5.719;
Yüksekokul veya fakülte;;2.150;1.849;3.999;
Yüksek lisans;;149;117;266;
Doktora;;25;23;48;
Bilinmeyen;;40;57;97;
Toplam;;13.721;13.679;27.400;
Marmaris;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;72;354;426;
Okuma yazma bilen fakat bir okul bitirmeyen;;367;767;1.134;
Ýlkokul;;6.571;7.619;14.190;
Ýlköðretim;;4.467;2.963;7.430;
Ortaokul veya dengi okul;;3.688;2.559;6.247;
Lise veya dengi okul;;11.590;9.636;21.226;
Yüksekokul veya fakülte;;8.016;7.467;15.483;
Yüksek lisans;;593;495;1.088;
Doktora;;91;78;169;
Bilinmeyen;;505;600;1.105;
Toplam;;35.960;32.538;68.498;
Menteþe;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;180;1.331;1.511;
Okuma yazma bilen fakat bir okul bitirmeyen;;379;1.437;1.816;
Ýlkokul;;8.476;11.603;20.079;
Ýlköðretim;;4.750;3.727;8.477;
Ortaokul veya dengi okul;;2.857;2.376;5.233;
Lise veya dengi okul;;12.788;10.584;23.372;
Yüksekokul veya fakülte;;9.947;8.937;18.884;
Yüksek lisans;;1.028;950;1.978;
Doktora;;564;342;906;
Bilinmeyen;;116;112;228;
Toplam;;41.085;41.399;82.484;
Milas;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;464;2.482;2.946;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.116;2.562;3.678;
Ýlkokul;;16.864;21.050;37.914;
Ýlköðretim;;9.946;6.278;16.224;
Ortaokul veya dengi okul;;4.840;3.742;8.582;
Lise veya dengi okul;;11.677;9.774;21.451;
Yüksekokul veya fakülte;;8.278;7.178;15.456;
Yüksek lisans;;639;463;1.102;
Doktora;;109;68;177;
Bilinmeyen;;304;320;624;
Toplam;;54.237;53.917;108.154;
Ortaca;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;60;403;463;
Okuma yazma bilen fakat bir okul bitirmeyen;;295;1.155;1.450;
Ýlkokul;;4.579;5.807;10.386;
Ýlköðretim;;2.434;2.042;4.476;
Ortaokul veya dengi okul;;1.863;1.402;3.265;
Lise veya dengi okul;;5.331;4.320;9.651;
Yüksekokul veya fakülte;;3.302;3.014;6.316;
Yüksek lisans;;202;160;362;
Doktora;;38;27;65;
Bilinmeyen;;113;119;232;
Toplam;;18.217;18.449;36.666;
Seydikemer;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;234;1.658;1.892;
Okuma yazma bilen fakat bir okul bitirmeyen;;476;1.384;1.860;
Ýlkokul;;10.956;12.362;23.318;
Ýlköðretim;;4.565;2.785;7.350;
Ortaokul veya dengi okul;;1.999;1.084;3.083;
Lise veya dengi okul;;3.184;2.136;5.320;
Yüksekokul veya fakülte;;1.618;1.248;2.866;
Yüksek lisans;;89;47;136;
Doktora;;21;12;33;
Bilinmeyen;;32;48;80;
Toplam;;23.174;22.764;45.938;
Ula;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;21;178;199;
Okuma yazma bilen fakat bir okul bitirmeyen;;246;930;1.176;
Ýlkokul;;3.022;3.788;6.810;
Ýlköðretim;;1.429;959;2.388;
Ortaokul veya dengi okul;;877;653;1.530;
Lise veya dengi okul;;2.580;1.908;4.488;
Yüksekokul veya fakülte;;1.708;1.453;3.161;
Yüksek lisans;;130;123;253;
Doktora;;59;47;106;
Bilinmeyen;;59;44;103;
Toplam;;10.131;10.083;20.214;
Yataðan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;118;873;991;
Okuma yazma bilen fakat bir okul bitirmeyen;;335;1.232;1.567;
Ýlkokul;;5.760;7.408;13.168;
Ýlköðretim;;3.160;2.066;5.226;
Ortaokul veya dengi okul;;1.601;1.239;2.840;
Lise veya dengi okul;;4.171;2.925;7.096;
Yüksekokul veya fakülte;;2.204;1.929;4.133;
Yüksek lisans;;129;79;208;
Doktora;;17;11;28;
Bilinmeyen;;44;34;78;
Toplam;;17.539;17.796;35.335;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
