TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Kütahya;;;;;
Altýntaþ;;Erkek;Kadýn;Toplam;
Kütahya Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;464;2.815;3.279;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.281;4.655;5.936;
Ýlkokul;;15.982;32.024;48.006;
Ýlköðretim;;14.569;14.027;28.596;
Ortaokul veya dengi okul;;9.050;7.502;16.552;
Lise veya dengi okul;;28.833;18.028;46.861;
Yüksekokul veya fakülte;;15.922;11.686;27.608;
Yüksek lisans;;1.743;1.120;2.863;
Doktora;;566;295;861;
Bilinmeyen;;230;284;514;
Toplam;;88.640;92.436;181.076;
Pazarlar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;48;182;230;
Okuma yazma bilen fakat bir okul bitirmeyen;;85;439;524;
Ýlkokul;;794;792;1.586;
Ýlköðretim;;267;290;557;
Ortaokul veya dengi okul;;212;130;342;
Lise veya dengi okul;;371;242;613;
Yüksekokul veya fakülte;;168;117;285;
Yüksek lisans;;19;4;23;
Doktora;;-;3;3;
Bilinmeyen;;1;2;3;
Toplam;;1.965;2.201;4.166;
Simav;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;423;1.762;2.185;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.261;3.529;4.790;
Ýlkokul;;7.808;10.937;18.745;
Ýlköðretim;;2.776;2.658;5.434;
Ortaokul veya dengi okul;;2.795;1.517;4.312;
Lise veya dengi okul;;5.639;3.537;9.176;
Yüksekokul veya fakülte;;3.124;2.138;5.262;
Yüksek lisans;;226;132;358;
Doktora;;61;25;86;
Bilinmeyen;;44;43;87;
Toplam;;24.157;26.278;50.435;
Þaphane;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;40;308;348;
Okuma yazma bilen fakat bir okul bitirmeyen;;176;459;635;
Ýlkokul;;920;1.094;2.014;
Ýlköðretim;;314;228;542;
Ortaokul veya dengi okul;;241;134;375;
Lise veya dengi okul;;487;261;748;
Yüksekokul veya fakülte;;257;166;423;
Yüksek lisans;;11;4;15;
Doktora;;5;1;6;
Bilinmeyen;;15;12;27;
Toplam;;2.466;2.667;5.133;
Tavþanlý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;139;1.193;1.332;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.297;3.723;5.020;
Ýlkokul;;8.111;16.195;24.306;
Ýlköðretim;;5.988;5.787;11.775;
Ortaokul veya dengi okul;;3.674;2.760;6.434;
Lise veya dengi okul;;12.498;6.491;18.989;
Yüksekokul veya fakülte;;5.383;3.530;8.913;
Yüksek lisans;;426;225;651;
Doktora;;48;26;74;
Bilinmeyen;;58;84;142;
Toplam;;37.622;40.014;77.636;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
