TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Diyarbakýr;;;;;
Baðlar;;Erkek;Kadýn;Toplam;
Lise veya dengi okul;;5.287;3.148;8.435;
Yüksekokul veya fakülte;;2.469;1.402;3.871;
Yüksek lisans;;167;45;212;
Doktora;;13;9;22;
Bilinmeyen;;35;51;86;
Toplam;;24.330;24.878;49.208;
Sur;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.266;6.622;7.888;
Okuma yazma bilen fakat bir okul bitirmeyen;;3.302;8.928;12.230;
Ýlkokul;;5.810;4.914;10.724;
Ýlköðretim;;9.430;5.136;14.566;
Ortaokul veya dengi okul;;3.964;2.055;6.019;
Lise veya dengi okul;;5.712;3.868;9.580;
Yüksekokul veya fakülte;;2.577;1.610;4.187;
Yüksek lisans;;265;156;421;
Doktora;;447;135;582;
Bilinmeyen;;56;105;161;
Toplam;;32.829;33.529;66.358;
Yeniþehir;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.454;8.885;10.339;
Okuma yazma bilen fakat bir okul bitirmeyen;;3.908;10.484;14.392;
Ýlkokul;;7.920;9.459;17.379;
Ýlköðretim;;12.735;8.374;21.109;
Ortaokul veya dengi okul;;5.873;3.960;9.833;
Lise veya dengi okul;;15.571;12.269;27.840;
Yüksekokul veya fakülte;;12.370;9.233;21.603;
Yüksek lisans;;1.226;650;1.876;
Doktora;;164;91;255;
Bilinmeyen;;130;216;346;
Toplam;;61.351;63.621;124.972;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
