TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Ankara;;;;;
Akyurt;;Erkek;Kadýn;Toplam;
Ýlköðretim;;3.343;2.702;6.045;
Ortaokul veya dengi okul;;2.191;1.441;3.632;
Lise veya dengi okul;;5.619;4.024;9.643;
Yüksekokul veya fakülte;;2.986;2.140;5.126;
Yüksek lisans;;197;158;355;
Doktora;;25;20;45;
Bilinmeyen;;88;85;173;
Toplam;;18.208;17.900;36.108;
Kalecik;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;66;470;536;
Okuma yazma bilen fakat bir okul bitirmeyen;;147;486;633;
Ýlkokul;;1.730;2.354;4.084;
Ýlköðretim;;511;409;920;
Ortaokul veya dengi okul;;608;311;919;
Lise veya dengi okul;;1.286;727;2.013;
Yüksekokul veya fakülte;;556;336;892;
Yüksek lisans;;23;23;46;
Doktora;;7;2;9;
Bilinmeyen;;11;19;30;
Toplam;;4.945;5.137;10.082;
Keçiören;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.464;13.786;15.250;
Okuma yazma bilen fakat bir okul bitirmeyen;;3.054;13.033;16.087;
Ýlkokul;;46.240;85.105;131.345;
Ýlköðretim;;41.850;35.425;77.275;
Ortaokul veya dengi okul;;37.310;29.726;67.036;
Lise veya dengi okul;;111.124;96.069;207.193;
Yüksekokul veya fakülte;;69.275;61.614;130.889;
Yüksek lisans;;6.454;5.366;11.820;
Doktora;;1.226;708;1.934;
Bilinmeyen;;2.112;2.404;4.516;
Toplam;;320.109;343.236;663.345;
Kýzýlcahamam;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;173;1.081;1.254;
Okuma yazma bilen fakat bir okul bitirmeyen;;250;962;1.212;
Ýlkokul;;2.834;3.611;6.445;
Ýlköðretim;;842;878;1.720;
Ortaokul veya dengi okul;;1.088;599;1.687;
Lise veya dengi okul;;3.300;2.163;5.463;
Yüksekokul veya fakülte;;1.440;1.017;2.457;
Yüksek lisans;;102;64;166;
Doktora;;9;8;17;
Bilinmeyen;;105;149;254;
Toplam;;10.143;10.532;20.675;
Mamak;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.471;12.754;14.225;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.499;9.808;12.307;
Ýlkokul;;36.014;62.251;98.265;
Ýlköðretim;;37.217;28.430;65.647;
Ortaokul veya dengi okul;;28.929;19.932;48.861;
Lise veya dengi okul;;74.183;59.362;133.545;
Yüksekokul veya fakülte;;37.171;33.608;70.779;
Yüksek lisans;;2.940;2.470;5.410;
Doktora;;395;281;676;
Bilinmeyen;;1.600;1.685;3.285;
Toplam;;222.419;230.581;453.000;
Nallýhan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;124;586;710;
Okuma yazma bilen fakat bir okul bitirmeyen;;342;990;1.332;
Ýlkokul;;3.225;4.942;8.167;
Ýlköðretim;;1.264;1.275;2.539;
Ortaokul veya dengi okul;;1.316;858;2.174;
Lise veya dengi okul;;3.195;1.877;5.072;
Yüksekokul veya fakülte;;1.395;960;2.355;
Yüksek lisans;;93;47;140;
Doktora;;5;4;9;
Bilinmeyen;;36;48;84;
Toplam;;10.995;11.587;22.582;
Polatlý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;299;2.403;2.702;
Okuma yazma bilen fakat bir okul bitirmeyen;;711;2.167;2.878;
Ýlkokul;;10.516;16.127;26.643;
Ýlköðretim;;5.896;4.889;10.785;
Ortaokul veya dengi okul;;3.922;2.997;6.919;
Lise veya dengi okul;;13.622;10.286;23.908;
Yüksekokul veya fakülte;;6.950;5.824;12.774;
Yüksek lisans;;507;395;902;
Doktora;;65;54;119;
Bilinmeyen;;407;443;850;
Toplam;;42.895;45.585;88.480;
Pursaklar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;185;1.516;1.701;
Okuma yazma bilen fakat bir okul bitirmeyen;;376;1.698;2.074;
Ýlkokul;;7.121;13.165;20.286;
Ýlköðretim;;8.023;7.600;15.623;
Ortaokul veya dengi okul;;6.226;4.720;10.946;
Lise veya dengi okul;;16.780;13.161;29.941;
Yüksekokul veya fakülte;;8.510;6.715;15.225;
Yüksek lisans;;756;406;1.162;
Doktora;;140;36;176;
Bilinmeyen;;279;252;531;
Toplam;;48.396;49.269;97.665;
Sincan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;834;7.951;8.785;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.574;6.795;8.369;
Ýlkokul;;27.161;53.047;80.208;
Ýlköðretim;;32.706;27.692;60.398;
Ortaokul veya dengi okul;;24.232;18.049;42.281;
Lise veya dengi okul;;62.738;46.673;109.411;
Yüksekokul veya fakülte;;27.731;20.091;47.822;
Yüksek lisans;;1.567;906;2.473;
Doktora;;193;133;326;
Bilinmeyen;;781;868;1.649;
Toplam;;179.517;182.205;361.722;
Þereflikoçhisar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;204;1.341;1.545;
Okuma yazma bilen fakat bir okul bitirmeyen;;347;1.320;1.667;
Ýlkokul;;3.169;3.815;6.984;
Ýlköðretim;;1.309;1.012;2.321;
Ortaokul veya dengi okul;;1.481;1.081;2.562;
Lise veya dengi okul;;3.267;2.382;5.649;
Yüksekokul veya fakülte;;1.646;1.120;2.766;
Yüksek lisans;;140;79;219;
Doktora;;16;4;20;
Bilinmeyen;;420;439;859;
Toplam;;11.999;12.593;24.592;
Yenimahalle;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;815;7.738;8.553;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.520;6.849;8.369;
Ýlkokul;;26.782;49.053;75.835;
Ýlköðretim;;18.340;15.340;33.680;
Ortaokul veya dengi okul;;20.259;18.529;38.788;
Lise veya dengi okul;;75.152;70.918;146.070;
Yüksekokul veya fakülte;;76.241;68.929;145.170;
Yüksek lisans;;10.764;9.088;19.852;
Doktora;;2.346;1.591;3.937;
Bilinmeyen;;1.466;1.670;3.136;
Toplam;;233.685;249.705;483.390;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
