TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Çanakkale;;;;;
Ayvacýk;;Erkek;Kadýn;Toplam;
Ortaokul veya dengi okul;;403;323;726;
Lise veya dengi okul;;893;695;1.588;
Yüksekokul veya fakülte;;500;404;904;
Yüksek lisans;;35;25;60;
Doktora;;7;3;10;
Bilinmeyen;;27;18;45;
Toplam;;3.705;3.704;7.409;
Ezine;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;181;769;950;
Okuma yazma bilen fakat bir okul bitirmeyen;;558;1.005;1.563;
Ýlkokul;;4.545;5.762;10.307;
Ýlköðretim;;1.787;1.314;3.101;
Ortaokul veya dengi okul;;1.278;898;2.176;
Lise veya dengi okul;;2.462;1.801;4.263;
Yüksekokul veya fakülte;;1.329;981;2.310;
Yüksek lisans;;67;59;126;
Doktora;;16;6;22;
Bilinmeyen;;45;53;98;
Toplam;;12.268;12.648;24.916;
Gelibolu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;163;550;713;
Okuma yazma bilen fakat bir okul bitirmeyen;;482;1.036;1.518;
Ýlkokul;;4.718;6.485;11.203;
Ýlköðretim;;1.644;1.456;3.100;
Ortaokul veya dengi okul;;1.571;1.316;2.887;
Lise veya dengi okul;;4.462;3.360;7.822;
Yüksekokul veya fakülte;;2.797;2.288;5.085;
Yüksek lisans;;183;147;330;
Doktora;;27;17;44;
Bilinmeyen;;106;100;206;
Toplam;;16.153;16.755;32.908;
Gökçeada;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;19;101;120;
Okuma yazma bilen fakat bir okul bitirmeyen;;83;180;263;
Ýlkokul;;643;777;1.420;
Ýlköðretim;;300;260;560;
Ortaokul veya dengi okul;;283;242;525;
Lise veya dengi okul;;990;662;1.652;
Yüksekokul veya fakülte;;710;611;1.321;
Yüksek lisans;;77;51;128;
Doktora;;13;8;21;
Bilinmeyen;;41;52;93;
Toplam;;3.159;2.944;6.103;
Lapseki;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;49;172;221;
Okuma yazma bilen fakat bir okul bitirmeyen;;479;995;1.474;
Ýlkokul;;3.577;5.227;8.804;
Ýlköðretim;;1.412;1.063;2.475;
Ortaokul veya dengi okul;;1.153;784;1.937;
Lise veya dengi okul;;2.450;1.604;4.054;
Yüksekokul veya fakülte;;1.333;998;2.331;
Yüksek lisans;;81;56;137;
Doktora;;15;12;27;
Bilinmeyen;;47;35;82;
Toplam;;10.596;10.946;21.542;
Yenice;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;84;443;527;
Okuma yazma bilen fakat bir okul bitirmeyen;;749;1.396;2.145;
Ýlkokul;;5.784;7.412;13.196;
Ýlköðretim;;1.568;1.174;2.742;
Ortaokul veya dengi okul;;1.022;805;1.827;
Lise veya dengi okul;;2.341;1.350;3.691;
Yüksekokul veya fakülte;;1.206;842;2.048;
Yüksek lisans;;89;41;130;
Doktora;;11;9;20;
Bilinmeyen;;18;16;34;
Toplam;;12.872;13.488;26.360;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
