TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Aydýn;;;;;
Bozdoðan;;Erkek;Kadýn;Toplam;
Bilinmeyen;;994;891;1.885;
Toplam;;42.517;43.134;85.651;
Kuyucak;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;72;452;524;
Okuma yazma bilen fakat bir okul bitirmeyen;;354;1.144;1.498;
Ýlkokul;;3.913;4.892;8.805;
Ýlköðretim;;1.627;1.226;2.853;
Ortaokul veya dengi okul;;1.188;743;1.931;
Lise veya dengi okul;;2.119;1.704;3.823;
Yüksekokul veya fakülte;;1.042;816;1.858;
Yüksek lisans;;41;23;64;
Doktora;;8;6;14;
Bilinmeyen;;43;54;97;
Toplam;;10.407;11.060;21.467;
Nazilli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;387;1.823;2.210;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.352;5.049;6.401;
Ýlkokul;;15.810;20.620;36.430;
Ýlköðretim;;9.138;7.130;16.268;
Ortaokul veya dengi okul;;5.172;3.884;9.056;
Lise veya dengi okul;;12.789;11.297;24.086;
Yüksekokul veya fakülte;;9.604;8.304;17.908;
Yüksek lisans;;676;504;1.180;
Doktora;;133;90;223;
Bilinmeyen;;218;247;465;
Toplam;;55.279;58.948;114.227;
Söke;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;262;1.674;1.936;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.207;3.785;4.992;
Ýlkokul;;10.950;14.223;25.173;
Ýlköðretim;;8.441;5.734;14.175;
Ortaokul veya dengi okul;;4.347;3.334;7.681;
Lise veya dengi okul;;11.453;10.170;21.623;
Yüksekokul veya fakülte;;6.449;5.951;12.400;
Yüksek lisans;;409;320;729;
Doktora;;74;44;118;
Bilinmeyen;;153;137;290;
Toplam;;43.745;45.372;89.117;
Sultanhisar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;39;199;238;
Okuma yazma bilen fakat bir okul bitirmeyen;;225;816;1.041;
Ýlkokul;;2.868;3.614;6.482;
Ýlköðretim;;1.236;952;2.188;
Ortaokul veya dengi okul;;690;509;1.199;
Lise veya dengi okul;;1.516;1.252;2.768;
Yüksekokul veya fakülte;;812;640;1.452;
Yüksek lisans;;44;29;73;
Doktora;;7;9;16;
Bilinmeyen;;20;9;29;
Toplam;;7.457;8.029;15.486;
Yenipazar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;26;133;159;
Okuma yazma bilen fakat bir okul bitirmeyen;;237;763;1.000;
Ýlkokul;;1.825;2.248;4.073;
Ýlköðretim;;732;626;1.358;
Ortaokul veya dengi okul;;534;353;887;
Lise veya dengi okul;;887;702;1.589;
Yüksekokul veya fakülte;;539;398;937;
Yüksek lisans;;35;18;53;
Doktora;;3;4;7;
Bilinmeyen;;9;12;21;
Toplam;;4.827;5.257;10.084;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
