TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Malatya;;;;;
Akçadað;;Erkek;Kadýn;Toplam;
Lise veya dengi okul;;32.608;25.768;58.376;
Yüksekokul veya fakülte;;18.076;14.648;32.724;
Yüksek lisans;;1.467;942;2.409;
Doktora;;596;266;862;
Bilinmeyen;;560;658;1.218;
Toplam;;101.756;107.424;209.180;
Darende;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;245;1.352;1.597;
Okuma yazma bilen fakat bir okul bitirmeyen;;321;792;1.113;
Ýlkokul;;2.753;3.380;6.133;
Ýlköðretim;;1.317;1.107;2.424;
Ortaokul veya dengi okul;;1.154;639;1.793;
Lise veya dengi okul;;2.384;1.617;4.001;
Yüksekokul veya fakülte;;1.124;799;1.923;
Yüksek lisans;;99;48;147;
Doktora;;10;4;14;
Bilinmeyen;;51;118;169;
Toplam;;9.458;9.856;19.314;
Doðanþehir;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;459;2.400;2.859;
Okuma yazma bilen fakat bir okul bitirmeyen;;644;1.352;1.996;
Ýlkokul;;3.510;4.497;8.007;
Ýlköðretim;;2.137;1.474;3.611;
Ortaokul veya dengi okul;;2.090;987;3.077;
Lise veya dengi okul;;3.869;2.496;6.365;
Yüksekokul veya fakülte;;1.385;991;2.376;
Yüksek lisans;;89;32;121;
Doktora;;10;6;16;
Bilinmeyen;;84;97;181;
Toplam;;14.277;14.332;28.609;
Doðanyol;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;80;447;527;
Okuma yazma bilen fakat bir okul bitirmeyen;;95;203;298;
Ýlkokul;;550;473;1.023;
Ýlköðretim;;239;177;416;
Ortaokul veya dengi okul;;167;47;214;
Lise veya dengi okul;;238;137;375;
Yüksekokul veya fakülte;;115;77;192;
Yüksek lisans;;9;1;10;
Doktora;;0;0;0;
Bilinmeyen;;12;17;29;
Toplam;;1.505;1.579;3.084;
Hekimhan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;287;1.765;2.052;
Okuma yazma bilen fakat bir okul bitirmeyen;;306;684;990;
Ýlkokul;;1.778;2.097;3.875;
Ýlköðretim;;731;441;1.172;
Ortaokul veya dengi okul;;999;590;1.589;
Lise veya dengi okul;;2.281;1.237;3.518;
Yüksekokul veya fakülte;;787;539;1.326;
Yüksek lisans;;50;19;69;
Doktora;;2;1;3;
Bilinmeyen;;61;80;141;
Toplam;;7.282;7.453;14.735;
Kale;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;124;692;816;
Okuma yazma bilen fakat bir okul bitirmeyen;;198;355;553;
Ýlkokul;;726;627;1.353;
Ýlköðretim;;295;264;559;
Ortaokul veya dengi okul;;265;98;363;
Lise veya dengi okul;;343;210;553;
Yüksekokul veya fakülte;;149;85;234;
Yüksek lisans;;4;3;7;
Doktora;;-;1;1;
Bilinmeyen;;9;13;22;
Toplam;;2.113;2.348;4.461;
Kuluncak;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;131;620;751;
Okuma yazma bilen fakat bir okul bitirmeyen;;145;325;470;
Ýlkokul;;920;1.017;1.937;
Ýlköðretim;;444;340;784;
Ortaokul veya dengi okul;;403;169;572;
Lise veya dengi okul;;627;366;993;
Yüksekokul veya fakülte;;249;179;428;
Yüksek lisans;;12;5;17;
Doktora;;1;3;4;
Bilinmeyen;;19;21;40;
Toplam;;2.951;3.045;5.996;
Pütürge;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;575;2.412;2.987;
Okuma yazma bilen fakat bir okul bitirmeyen;;458;776;1.234;
Ýlkokul;;1.898;1.434;3.332;
Ýlköðretim;;847;570;1.417;
Ortaokul veya dengi okul;;456;161;617;
Lise veya dengi okul;;629;329;958;
Yüksekokul veya fakülte;;267;131;398;
Yüksek lisans;;18;3;21;
Doktora;;5;1;6;
Bilinmeyen;;49;62;111;
Toplam;;5.202;5.879;11.081;
Yazýhan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;139;741;880;
Okuma yazma bilen fakat bir okul bitirmeyen;;190;345;535;
Ýlkokul;;1.122;1.432;2.554;
Ýlköðretim;;880;593;1.473;
Ortaokul veya dengi okul;;753;391;1.144;
Lise veya dengi okul;;1.260;832;2.092;
Yüksekokul veya fakülte;;421;309;730;
Yüksek lisans;;22;10;32;
Doktora;;3;5;8;
Bilinmeyen;;18;40;58;
Toplam;;4.808;4.698;9.506;
Yeþilyurt;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.284;8.804;10.088;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.719;5.408;7.127;
Ýlkokul;;12.317;23.876;36.193;
Ýlköðretim;;15.094;11.976;27.070;
Ortaokul veya dengi okul;;11.902;9.119;21.021;
Lise veya dengi okul;;33.089;27.163;60.252;
Yüksekokul veya fakülte;;25.486;20.633;46.119;
Yüksek lisans;;2.587;1.673;4.260;
Doktora;;508;270;778;
Bilinmeyen;;410;616;1.026;
Toplam;;104.396;109.538;213.934;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
