TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Sakarya;;;;;
Adapazarý;;Erkek;Kadýn;Toplam;
Ýlkokul;;6.172;11.196;17.368;
Ýlköðretim;;5.509;5.016;10.525;
Ortaokul veya dengi okul;;4.323;3.427;7.750;
Lise veya dengi okul;;15.113;11.610;26.723;
Yüksekokul veya fakülte;;10.018;9.309;19.327;
Yüksek lisans;;1.738;1.268;3.006;
Doktora;;811;364;1.175;
Bilinmeyen;;330;351;681;
Toplam;;44.557;45.116;89.673;
Söðütlü;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;51;398;449;
Okuma yazma bilen fakat bir okul bitirmeyen;;122;362;484;
Ýlkokul;;1.794;2.386;4.180;
Ýlköðretim;;799;701;1.500;
Ortaokul veya dengi okul;;589;356;945;
Lise veya dengi okul;;1.491;831;2.322;
Yüksekokul veya fakülte;;530;377;907;
Yüksek lisans;;21;6;27;
Doktora;;2;7;9;
Bilinmeyen;;36;23;59;
Toplam;;5.435;5.447;10.882;
Taraklý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;86;308;394;
Okuma yazma bilen fakat bir okul bitirmeyen;;140;219;359;
Ýlkokul;;824;1.147;1.971;
Ýlköðretim;;380;360;740;
Ortaokul veya dengi okul;;305;118;423;
Lise veya dengi okul;;547;298;845;
Yüksekokul veya fakülte;;260;160;420;
Yüksek lisans;;26;9;35;
Doktora;;1;-;1;
Bilinmeyen;;5;2;7;
Toplam;;2.574;2.621;5.195;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
