TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Ýzmir;;;;;
Aliaða;;Erkek;Kadýn;Toplam;
Yüksekokul veya fakülte;;5.371;4.347;9.718;
Yüksek lisans;;370;263;633;
Doktora;;43;32;75;
Bilinmeyen;;85;91;176;
Toplam;;39.226;41.187;80.413;
Beydað;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;27;118;145;
Okuma yazma bilen fakat bir okul bitirmeyen;;184;804;988;
Ýlkokul;;2.187;2.513;4.700;
Ýlköðretim;;1.014;522;1.536;
Ortaokul veya dengi okul;;352;212;564;
Lise veya dengi okul;;750;583;1.333;
Yüksekokul veya fakülte;;366;269;635;
Yüksek lisans;;19;12;31;
Doktora;;-;1;1;
Bilinmeyen;;19;20;39;
Toplam;;4.918;5.054;9.972;
Bornova;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;726;4.983;5.709;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.140;7.365;9.505;
Ýlkokul;;30.845;44.986;75.831;
Ýlköðretim;;25.454;17.738;43.192;
Ortaokul veya dengi okul;;17.121;13.636;30.757;
Lise veya dengi okul;;49.164;40.780;89.944;
Yüksekokul veya fakülte;;29.489;29.729;59.218;
Yüksek lisans;;3.073;3.186;6.259;
Doktora;;1.259;1.095;2.354;
Bilinmeyen;;690;667;1.357;
Toplam;;159.961;164.165;324.126;
Buca;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;642;4.693;5.335;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.718;9.975;12.693;
Ýlkokul;;33.101;49.503;82.604;
Ýlköðretim;;28.094;20.498;48.592;
Ortaokul veya dengi okul;;19.342;15.172;34.514;
Lise veya dengi okul;;56.704;47.799;104.503;
Yüksekokul veya fakülte;;32.816;31.904;64.720;
Yüksek lisans;;2.225;2.104;4.329;
Doktora;;438;374;812;
Bilinmeyen;;824;840;1.664;
Toplam;;176.904;182.862;359.766;
Çeþme;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;34;134;168;
Okuma yazma bilen fakat bir okul bitirmeyen;;271;606;877;
Ýlkokul;;3.342;4.124;7.466;
Ýlköðretim;;2.012;1.340;3.352;
Ortaokul veya dengi okul;;1.846;1.399;3.245;
Lise veya dengi okul;;4.929;4.649;9.578;
Yüksekokul veya fakülte;;3.964;3.885;7.849;
Yüksek lisans;;307;302;609;
Doktora;;99;73;172;
Bilinmeyen;;363;338;701;
Toplam;;17.167;16.850;34.017;
Çiðli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;306;1.916;2.222;
Okuma yazma bilen fakat bir okul bitirmeyen;;735;2.791;3.526;
Ýlkokul;;11.045;18.461;29.506;
Ýlköðretim;;11.684;8.668;20.352;
Ortaokul veya dengi okul;;7.422;6.325;13.747;
Lise veya dengi okul;;23.706;19.589;43.295;
Yüksekokul veya fakülte;;15.210;14.448;29.658;
Yüksek lisans;;1.171;1.100;2.271;
Doktora;;261;228;489;
Bilinmeyen;;260;272;532;
Toplam;;71.800;73.798;145.598;
Dikili;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;89;401;490;
Okuma yazma bilen fakat bir okul bitirmeyen;;498;1.433;1.931;
Ýlkokul;;5.052;6.430;11.482;
Ýlköðretim;;1.885;1.405;3.290;
Ortaokul veya dengi okul;;1.819;1.489;3.308;
Lise veya dengi okul;;4.678;4.210;8.888;
Yüksekokul veya fakülte;;4.103;3.360;7.463;
Yüksek lisans;;250;186;436;
Doktora;;70;31;101;
Bilinmeyen;;281;312;593;
Toplam;;18.725;19.257;37.982;
Foça;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;44;188;232;
Okuma yazma bilen fakat bir okul bitirmeyen;;173;499;672;
Ýlkokul;;2.301;2.932;5.233;
Ýlköðretim;;1.694;716;2.410;
Ortaokul veya dengi okul;;1.047;792;1.839;
Lise veya dengi okul;;3.941;2.633;6.574;
Yüksekokul veya fakülte;;4.035;2.465;6.500;
Yüksek lisans;;254;205;459;
Doktora;;40;34;74;
Bilinmeyen;;118;125;243;
Toplam;;13.647;10.589;24.236;
Gaziemir;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;137;954;1.091;
Okuma yazma bilen fakat bir okul bitirmeyen;;524;2.006;2.530;
Ýlkokul;;6.538;10.634;17.172;
Ýlköðretim;;6.091;4.893;10.984;
Ortaokul veya dengi okul;;4.813;4.620;9.433;
Lise veya dengi okul;;15.708;14.098;29.806;
Yüksekokul veya fakülte;;12.843;11.914;24.757;
Yüksek lisans;;1.090;958;2.048;
Doktora;;158;106;264;
Bilinmeyen;;168;185;353;
Toplam;;48.070;50.368;98.438;
Güzelbahçe;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;34;142;176;
Okuma yazma bilen fakat bir okul bitirmeyen;;140;422;562;
Ýlkokul;;1.587;2.243;3.830;
Ýlköðretim;;1.000;727;1.727;
Ortaokul veya dengi okul;;913;839;1.752;
Lise veya dengi okul;;3.052;3.353;6.405;
Yüksekokul veya fakülte;;3.724;4.029;7.753;
Yüksek lisans;;609;528;1.137;
Doktora;;280;220;500;
Bilinmeyen;;141;150;291;
Toplam;;11.480;12.653;24.133;
Karabaðlar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;820;5.055;5.875;
Okuma yazma bilen fakat bir okul bitirmeyen;;3.241;11.053;14.294;
Ýlkokul;;35.015;52.742;87.757;
Ýlköðretim;;30.876;20.759;51.635;
Ortaokul veya dengi okul;;19.430;15.432;34.862;
Lise veya dengi okul;;49.893;44.982;94.875;
Yüksekokul veya fakülte;;31.671;31.814;63.485;
Yüksek lisans;;2.781;2.803;5.584;
Doktora;;640;507;1.147;
Bilinmeyen;;794;816;1.610;
Toplam;;175.161;185.963;361.124;
Karaburun;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;5;60;65;
Okuma yazma bilen fakat bir okul bitirmeyen;;73;240;313;
Ýlkokul;;1.167;1.551;2.718;
Ýlköðretim;;408;261;669;
Ortaokul veya dengi okul;;414;306;720;
Lise veya dengi okul;;1.137;964;2.101;
Yüksekokul veya fakülte;;988;760;1.748;
Yüksek lisans;;71;56;127;
Doktora;;22;16;38;
Bilinmeyen;;60;54;114;
Toplam;;4.345;4.268;8.613;
Karþýyaka;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;284;1.648;1.932;
Okuma yazma bilen fakat bir okul bitirmeyen;;990;4.016;5.006;
Ýlkokul;;14.457;26.617;41.074;
Ýlköðretim;;9.460;6.719;16.179;
Ortaokul veya dengi okul;;9.976;10.891;20.867;
Lise veya dengi okul;;36.543;41.238;77.781;
Yüksekokul veya fakülte;;46.081;48.825;94.906;
Yüksek lisans;;5.874;6.038;11.912;
Doktora;;1.593;1.406;2.999;
Bilinmeyen;;733;914;1.647;
Toplam;;125.991;148.312;274.303;
Kemalpaþa;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;272;1.462;1.734;
Okuma yazma bilen fakat bir okul bitirmeyen;;694;2.474;3.168;
Ýlkokul;;9.730;13.530;23.260;
Ýlköðretim;;8.926;6.568;15.494;
Ortaokul veya dengi okul;;4.325;2.870;7.195;
Lise veya dengi okul;;10.092;7.284;17.376;
Yüksekokul veya fakülte;;4.432;3.895;8.327;
Yüksek lisans;;280;212;492;
Doktora;;47;31;78;
Bilinmeyen;;188;175;363;
Toplam;;38.986;38.501;77.487;
Kýnýk;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;118;399;517;
Okuma yazma bilen fakat bir okul bitirmeyen;;371;1.055;1.426;
Ýlkokul;;3.616;5.023;8.639;
Ýlköðretim;;2.121;1.620;3.741;
Ortaokul veya dengi okul;;1.131;542;1.673;
Lise veya dengi okul;;1.982;1.273;3.255;
Yüksekokul veya fakülte;;825;571;1.396;
Yüksek lisans;;41;25;66;
Doktora;;9;11;20;
Bilinmeyen;;15;22;37;
Toplam;;10.229;10.541;20.770;
Kiraz;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;248;1.103;1.351;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.028;3.113;4.141;
Ýlkokul;;7.632;7.131;14.763;
Ýlköðretim;;3.400;2.150;5.550;
Ortaokul veya dengi okul;;1.291;725;2.016;
Lise veya dengi okul;;2.253;1.553;3.806;
Yüksekokul veya fakülte;;978;864;1.842;
Yüksek lisans;;86;35;121;
Doktora;;7;4;11;
Bilinmeyen;;27;33;60;
Toplam;;16.950;16.711;33.661;
Konak;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.256;5.669;6.925;
Okuma yazma bilen fakat bir okul bitirmeyen;;3.975;10.665;14.640;
Ýlkokul;;28.010;39.059;67.069;
Ýlköðretim;;22.728;14.213;36.941;
Ortaokul veya dengi okul;;13.507;11.753;25.260;
Lise veya dengi okul;;34.112;32.777;66.889;
Yüksekokul veya fakülte;;25.572;26.129;51.701;
Yüksek lisans;;2.708;2.799;5.507;
Doktora;;849;810;1.659;
Bilinmeyen;;1.172;1.026;2.198;
Toplam;;133.889;144.900;278.789;
Menderes;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;152;931;1.083;
Okuma yazma bilen fakat bir okul bitirmeyen;;692;2.007;2.699;
Ýlkokul;;9.025;11.226;20.251;
Ýlköðretim;;6.182;4.513;10.695;
Ortaokul veya dengi okul;;3.725;2.895;6.620;
Lise veya dengi okul;;9.151;7.733;16.884;
Yüksekokul veya fakülte;;5.080;4.749;9.829;
Yüksek lisans;;344;277;621;
Doktora;;49;32;81;
Bilinmeyen;;286;286;572;
Toplam;;34.686;34.649;69.335;
Menemen;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;353;1.849;2.202;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.647;5.285;6.932;
Ýlkokul;;12.461;17.977;30.438;
Ýlköðretim;;11.330;8.169;19.499;
Ortaokul veya dengi okul;;5.966;4.262;10.228;
Lise veya dengi okul;;16.523;12.746;29.269;
Yüksekokul veya fakülte;;10.634;9.109;19.743;
Yüksek lisans;;814;705;1.519;
Doktora;;137;103;240;
Bilinmeyen;;212;214;426;
Toplam;;60.077;60.419;120.496;
Narlýdere;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;95;387;482;
Okuma yazma bilen fakat bir okul bitirmeyen;;381;1.323;1.704;
Ýlkokul;;2.993;4.654;7.647;
Ýlköðretim;;2.209;1.390;3.599;
Ortaokul veya dengi okul;;1.880;1.877;3.757;
Lise veya dengi okul;;6.546;6.653;13.199;
Yüksekokul veya fakülte;;7.699;7.722;15.421;
Yüksek lisans;;1.245;1.271;2.516;
Doktora;;391;347;738;
Bilinmeyen;;163;179;342;
Toplam;;23.602;25.803;49.405;
Ödemiþ;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;336;1.844;2.180;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.870;6.189;8.059;
Ýlkokul;;21.193;23.868;45.061;
Ýlköðretim;;7.547;5.076;12.623;
Ortaokul veya dengi okul;;4.065;2.749;6.814;
Lise veya dengi okul;;8.146;7.417;15.563;
Yüksekokul veya fakülte;;6.095;5.568;11.663;
Yüksek lisans;;452;311;763;
Doktora;;60;40;100;
Bilinmeyen;;133;142;275;
Toplam;;49.897;53.204;103.101;
Seferihisar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;74;296;370;
Okuma yazma bilen fakat bir okul bitirmeyen;;245;679;924;
Ýlkokul;;3.716;4.816;8.532;
Ýlköðretim;;1.896;1.363;3.259;
Ortaokul veya dengi okul;;1.614;1.352;2.966;
Lise veya dengi okul;;4.290;4.020;8.310;
Yüksekokul veya fakülte;;3.385;3.086;6.471;
Yüksek lisans;;312;254;566;
Doktora;;65;34;99;
Bilinmeyen;;234;225;459;
Toplam;;15.831;16.125;31.956;
Selçuk;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;108;672;780;
Okuma yazma bilen fakat bir okul bitirmeyen;;334;1.088;1.422;
Ýlkokul;;3.506;4.527;8.033;
Ýlköðretim;;2.412;1.499;3.911;
Ortaokul veya dengi okul;;1.520;1.131;2.651;
Lise veya dengi okul;;3.419;3.038;6.457;
Yüksekokul veya fakülte;;2.274;2.081;4.355;
Yüksek lisans;;140;115;255;
Doktora;;33;18;51;
Bilinmeyen;;72;56;128;
Toplam;;13.818;14.225;28.043;
Tire;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;197;762;959;
Okuma yazma bilen fakat bir okul bitirmeyen;;982;3.530;4.512;
Ýlkokul;;11.243;13.888;25.131;
Ýlköðretim;;4.768;3.685;8.453;
Ortaokul veya dengi okul;;2.680;1.862;4.542;
Lise veya dengi okul;;6.797;5.836;12.633;
Yüksekokul veya fakülte;;4.592;3.883;8.475;
Yüksek lisans;;361;235;596;
Doktora;;42;30;72;
Bilinmeyen;;85;95;180;
Toplam;;31.747;33.806;65.553;
Torbalý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;492;3.005;3.497;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.856;5.298;7.154;
Ýlkokul;;13.628;18.299;31.927;
Ýlköðretim;;14.607;10.432;25.039;
Ortaokul veya dengi okul;;6.407;4.871;11.278;
Lise veya dengi okul;;15.220;12.291;27.511;
Yüksekokul veya fakülte;;8.266;7.391;15.657;
Yüksek lisans;;547;385;932;
Doktora;;54;37;91;
Bilinmeyen;;238;197;435;
Toplam;;61.315;62.206;123.521;
Urla;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;59;332;391;
Okuma yazma bilen fakat bir okul bitirmeyen;;369;1.190;1.559;
Ýlkokul;;5.235;6.551;11.786;
Ýlköðretim;;2.324;1.667;3.991;
Ortaokul veya dengi okul;;2.450;2.032;4.482;
Lise veya dengi okul;;6.688;6.374;13.062;
Yüksekokul veya fakülte;;6.090;5.846;11.936;
Yüksek lisans;;718;685;1.403;
Doktora;;364;257;621;
Bilinmeyen;;318;352;670;
Toplam;;24.615;25.286;49.901;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
