TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Sivas;;;;;
Akýncýlar;;Erkek;Kadýn;Toplam;
Ortaokul veya dengi okul;;994;580;1.574;
Lise veya dengi okul;;2.407;1.363;3.770;
Yüksekokul veya fakülte;;1.282;812;2.094;
Yüksek lisans;;66;35;101;
Doktora;;12;9;21;
Bilinmeyen;;41;93;134;
Toplam;;9.355;9.751;19.106;
Þarkýþla;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;285;1.903;2.188;
Okuma yazma bilen fakat bir okul bitirmeyen;;621;1.184;1.805;
Ýlkokul;;3.161;4.259;7.420;
Ýlköðretim;;1.853;1.754;3.607;
Ortaokul veya dengi okul;;1.879;1.192;3.071;
Lise veya dengi okul;;3.825;2.442;6.267;
Yüksekokul veya fakülte;;1.651;1.225;2.876;
Yüksek lisans;;134;67;201;
Doktora;;20;13;33;
Bilinmeyen;;307;347;654;
Toplam;;13.736;14.386;28.122;
Ulaþ;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;79;526;605;
Okuma yazma bilen fakat bir okul bitirmeyen;;177;370;547;
Ýlkokul;;947;1.027;1.974;
Ýlköðretim;;716;436;1.152;
Ortaokul veya dengi okul;;448;204;652;
Lise veya dengi okul;;728;360;1.088;
Yüksekokul veya fakülte;;237;180;417;
Yüksek lisans;;14;10;24;
Doktora;;4;3;7;
Bilinmeyen;;40;27;67;
Toplam;;3.390;3.143;6.533;
Yýldýzeli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;367;1.822;2.189;
Okuma yazma bilen fakat bir okul bitirmeyen;;805;1.338;2.143;
Ýlkokul;;3.627;4.328;7.955;
Ýlköðretim;;2.812;1.761;4.573;
Ortaokul veya dengi okul;;1.308;620;1.928;
Lise veya dengi okul;;2.225;1.258;3.483;
Yüksekokul veya fakülte;;800;500;1.300;
Yüksek lisans;;40;13;53;
Doktora;;6;6;12;
Bilinmeyen;;257;319;576;
Toplam;;12.247;11.965;24.212;
Zara;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;363;1.990;2.353;
Okuma yazma bilen fakat bir okul bitirmeyen;;544;941;1.485;
Ýlkokul;;3.372;2.965;6.337;
Ýlköðretim;;1.105;710;1.815;
Ortaokul veya dengi okul;;813;504;1.317;
Lise veya dengi okul;;1.902;1.134;3.036;
Yüksekokul veya fakülte;;741;503;1.244;
Yüksek lisans;;53;10;63;
Doktora;;6;6;12;
Bilinmeyen;;110;164;274;
Toplam;;9.009;8.927;17.936;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
