TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Ýstanbul;;;;;
Adalar;;Erkek;Kadýn;Toplam;
Lise veya dengi okul;;27.382;24.445;51.827;
Yüksekokul veya fakülte;;18.236;17.417;35.653;
Yüksek lisans;;1.984;1.607;3.591;
Doktora;;387;238;625;
Bilinmeyen;;1.194;1.304;2.498;
Toplam;;84.568;87.783;172.351;
Çatalca;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;149;807;956;
Okuma yazma bilen fakat bir okul bitirmeyen;;368;904;1.272;
Ýlkokul;;7.632;10.453;18.085;
Ýlköðretim;;4.816;3.782;8.598;
Ortaokul veya dengi okul;;2.881;2.062;4.943;
Lise veya dengi okul;;7.123;4.946;12.069;
Yüksekokul veya fakülte;;3.658;3.109;6.767;
Yüksek lisans;;250;187;437;
Doktora;;39;30;69;
Bilinmeyen;;142;163;305;
Toplam;;27.058;26.443;53.501;
Çekmeköy;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;471;3.328;3.799;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.031;3.126;4.157;
Ýlkokul;;13.366;19.763;33.129;
Ýlköðretim;;14.332;11.412;25.744;
Ortaokul veya dengi okul;;8.814;6.436;15.250;
Lise veya dengi okul;;24.144;20.775;44.919;
Yüksekokul veya fakülte;;18.643;17.928;36.571;
Yüksek lisans;;2.653;2.044;4.697;
Doktora;;428;308;736;
Bilinmeyen;;504;561;1.065;
Toplam;;84.386;85.681;170.067;
Esenler;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.305;8.907;10.212;
Okuma yazma bilen fakat bir okul bitirmeyen;;3.921;9.734;13.655;
Ýlkokul;;36.828;50.097;86.925;
Ýlköðretim;;40.548;27.850;68.398;
Ortaokul veya dengi okul;;18.944;12.097;31.041;
Lise veya dengi okul;;38.158;27.933;66.091;
Yüksekokul veya fakülte;;16.056;14.765;30.821;
Yüksek lisans;;1.078;742;1.820;
Doktora;;155;112;267;
Bilinmeyen;;825;732;1.557;
Toplam;;157.818;152.969;310.787;
Esenyurt;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.943;13.706;15.649;
Okuma yazma bilen fakat bir okul bitirmeyen;;7.214;17.845;25.059;
Ýlkokul;;47.959;68.729;116.688;
Ýlköðretim;;73.486;52.896;126.382;
Ortaokul veya dengi okul;;30.787;20.340;51.127;
Lise veya dengi okul;;74.796;55.138;129.934;
Yüksekokul veya fakülte;;38.425;35.292;73.717;
Yüksek lisans;;3.189;2.459;5.648;
Doktora;;413;343;756;
Bilinmeyen;;2.243;2.245;4.488;
Toplam;;280.455;268.993;549.448;
Eyüpsultan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;846;5.417;6.263;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.933;5.360;7.293;
Ýlkokul;;25.042;36.198;61.240;
Ýlköðretim;;21.949;15.854;37.803;
Ortaokul veya dengi okul;;14.681;11.236;25.917;
Lise veya dengi okul;;40.761;33.442;74.203;
Yüksekokul veya fakülte;;25.530;26.327;51.857;
Yüksek lisans;;3.321;2.820;6.141;
Doktora;;545;440;985;
Bilinmeyen;;1.077;1.084;2.161;
Toplam;;135.685;138.178;273.863;
Fatih;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.439;7.014;8.453;
Okuma yazma bilen fakat bir okul bitirmeyen;;3.722;8.198;11.920;
Ýlkokul;;30.951;40.377;71.328;
Ýlköðretim;;19.972;13.071;33.043;
Ortaokul veya dengi okul;;15.136;11.653;26.789;
Lise veya dengi okul;;38.939;33.440;72.379;
Yüksekokul veya fakülte;;24.531;24.224;48.755;
Yüksek lisans;;3.265;3.056;6.321;
Doktora;;738;510;1.248;
Bilinmeyen;;2.007;1.748;3.755;
Toplam;;140.700;143.291;283.991;
Gaziosmanpaþa;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.359;8.725;10.084;
Okuma yazma bilen fakat bir okul bitirmeyen;;4.167;10.267;14.434;
Ýlkokul;;38.661;54.155;92.816;
Ýlköðretim;;36.129;24.477;60.606;
Ortaokul veya dengi okul;;20.227;14.232;34.459;
Lise veya dengi okul;;46.373;36.548;82.921;
Yüksekokul veya fakülte;;23.369;23.376;46.745;
Yüksek lisans;;2.207;1.884;4.091;
Doktora;;326;217;543;
Bilinmeyen;;1.352;1.209;2.561;
Toplam;;174.170;175.090;349.260;
Güngören;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;613;4.548;5.161;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.951;5.688;7.639;
Ýlkokul;;19.883;28.694;48.577;
Ýlköðretim;;17.246;12.638;29.884;
Ortaokul veya dengi okul;;12.335;8.994;21.329;
Lise veya dengi okul;;31.591;25.919;57.510;
Yüksekokul veya fakülte;;18.040;17.513;35.553;
Yüksek lisans;;1.723;1.494;3.217;
Doktora;;422;303;725;
Bilinmeyen;;775;705;1.480;
Toplam;;104.579;106.496;211.075;
Kadýköy;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;387;2.664;3.051;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.082;3.512;4.594;
Ýlkokul;;12.630;23.626;36.256;
Ýlköðretim;;6.313;4.859;11.172;
Ortaokul veya dengi okul;;10.012;13.620;23.632;
Lise veya dengi okul;;42.171;56.868;99.039;
Yüksekokul veya fakülte;;67.402;74.258;141.660;
Yüksek lisans;;15.610;15.630;31.240;
Doktora;;4.304;3.804;8.108;
Bilinmeyen;;2.104;2.557;4.661;
Toplam;;162.015;201.398;363.413;
Kaðýthane;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;998;6.567;7.565;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.760;6.814;9.574;
Ýlkokul;;29.144;40.006;69.150;
Ýlköðretim;;29.659;21.124;50.783;
Ortaokul veya dengi okul;;18.425;13.934;32.359;
Lise veya dengi okul;;48.018;37.690;85.708;
Yüksekokul veya fakülte;;27.877;28.332;56.209;
Yüksek lisans;;2.638;2.293;4.931;
Doktora;;363;293;656;
Bilinmeyen;;1.189;1.075;2.264;
Toplam;;161.071;158.128;319.199;
Kartal;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;905;7.275;8.180;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.059;6.358;8.417;
Ýlkokul;;24.220;38.826;63.046;
Ýlköðretim;;21.281;16.991;38.272;
Ortaokul veya dengi okul;;17.211;14.608;31.819;
Lise veya dengi okul;;54.767;46.497;101.264;
Yüksekokul veya fakülte;;41.652;39.832;81.484;
Yüksek lisans;;4.709;3.987;8.696;
Doktora;;638;397;1.035;
Bilinmeyen;;1.271;1.342;2.613;
Toplam;;168.713;176.113;344.826;
Küçükçekmece;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.918;11.874;13.792;
Okuma yazma bilen fakat bir okul bitirmeyen;;5.779;13.804;19.583;
Ýlkokul;;46.602;69.909;116.511;
Ýlköðretim;;51.222;37.950;89.172;
Ortaokul veya dengi okul;;29.529;21.945;51.474;
Lise veya dengi okul;;75.246;61.183;136.429;
Yüksekokul veya fakülte;;49.814;48.438;98.252;
Yüksek lisans;;5.492;4.550;10.042;
Doktora;;1.020;779;1.799;
Bilinmeyen;;1.925;2.054;3.979;
Toplam;;268.547;272.486;541.033;
Maltepe;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;912;6.189;7.101;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.116;6.362;8.478;
Ýlkokul;;23.966;37.736;61.702;
Ýlköðretim;;19.195;14.686;33.881;
Ortaokul veya dengi okul;;17.033;14.711;31.744;
Lise veya dengi okul;;54.408;50.993;105.401;
Yüksekokul veya fakülte;;49.338;50.101;99.439;
Yüksek lisans;;7.056;6.604;13.660;
Doktora;;1.230;1.051;2.281;
Bilinmeyen;;1.809;2.020;3.829;
Toplam;;177.063;190.453;367.516;
Pendik;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.386;10.384;11.770;
Okuma yazma bilen fakat bir okul bitirmeyen;;3.301;9.320;12.621;
Ýlkokul;;37.961;63.384;101.345;
Ýlköðretim;;46.194;35.348;81.542;
Ortaokul veya dengi okul;;26.493;20.004;46.497;
Lise veya dengi okul;;75.388;58.171;133.559;
Yüksekokul veya fakülte;;48.788;42.791;91.579;
Yüksek lisans;;5.072;3.471;8.543;
Doktora;;660;435;1.095;
Bilinmeyen;;1.484;1.676;3.160;
Toplam;;246.727;244.984;491.711;
Sancaktepe;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;988;7.543;8.531;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.634;6.995;9.629;
Ýlkokul;;25.906;35.866;61.772;
Ýlköðretim;;33.158;24.532;57.690;
Ortaokul veya dengi okul;;15.792;10.102;25.894;
Lise veya dengi okul;;35.511;27.306;62.817;
Yüksekokul veya fakülte;;20.582;19.378;39.960;
Yüksek lisans;;2.376;1.708;4.084;
Doktora;;326;232;558;
Bilinmeyen;;698;637;1.335;
Toplam;;137.971;134.299;272.270;
Sarýyer;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;663;4.542;5.205;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.567;4.168;5.735;
Ýlkokul;;19.183;26.553;45.736;
Ýlköðretim;;15.587;11.130;26.717;
Ortaokul veya dengi okul;;11.101;9.210;20.311;
Lise veya dengi okul;;36.190;32.494;68.684;
Yüksekokul veya fakülte;;28.861;31.034;59.895;
Yüksek lisans;;5.508;5.271;10.779;
Doktora;;1.802;1.416;3.218;
Bilinmeyen;;1.249;1.411;2.660;
Toplam;;121.711;127.229;248.940;
Silivri;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;292;1.848;2.140;
Okuma yazma bilen fakat bir okul bitirmeyen;;951;2.225;3.176;
Ýlkokul;;13.634;19.305;32.939;
Ýlköðretim;;11.827;8.495;20.322;
Ortaokul veya dengi okul;;6.793;4.809;11.602;
Lise veya dengi okul;;16.288;12.848;29.136;
Yüksekokul veya fakülte;;10.182;8.467;18.649;
Yüksek lisans;;916;637;1.553;
Doktora;;129;79;208;
Bilinmeyen;;636;634;1.270;
Toplam;;61.648;59.347;120.995;
Sultanbeyli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;973;7.428;8.401;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.689;8.044;10.733;
Ýlkokul;;23.196;32.758;55.954;
Ýlköðretim;;31.998;22.874;54.872;
Ortaokul veya dengi okul;;13.015;7.327;20.342;
Lise veya dengi okul;;25.408;17.050;42.458;
Yüksekokul veya fakülte;;11.145;8.021;19.166;
Yüksek lisans;;713;305;1.018;
Doktora;;94;76;170;
Bilinmeyen;;380;447;827;
Toplam;;109.611;104.330;213.941;
Sultangazi;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.698;10.766;12.464;
Okuma yazma bilen fakat bir okul bitirmeyen;;5.283;12.662;17.945;
Ýlkokul;;43.180;56.947;100.127;
Ýlköðretim;;47.343;31.551;78.894;
Ortaokul veya dengi okul;;21.016;13.445;34.461;
Lise veya dengi okul;;40.849;29.883;70.732;
Yüksekokul veya fakülte;;16.283;15.074;31.357;
Yüksek lisans;;1.048;609;1.657;
Doktora;;138;104;242;
Bilinmeyen;;1.335;1.174;2.509;
Toplam;;178.173;172.215;350.388;
Þile;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;121;599;720;
Okuma yazma bilen fakat bir okul bitirmeyen;;232;652;884;
Ýlkokul;;4.132;4.882;9.014;
Ýlköðretim;;1.532;1.296;2.828;
Ortaokul veya dengi okul;;1.455;1.056;2.511;
Lise veya dengi okul;;3.606;2.741;6.347;
Yüksekokul veya fakülte;;2.205;1.745;3.950;
Yüksek lisans;;219;143;362;
Doktora;;40;20;60;
Bilinmeyen;;125;111;236;
Toplam;;13.667;13.245;26.912;
Þiþli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;638;3.664;4.302;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.709;3.859;5.568;
Ýlkokul;;14.803;19.057;33.860;
Ýlköðretim;;10.883;7.714;18.597;
Ortaokul veya dengi okul;;8.800;8.113;16.913;
Lise veya dengi okul;;27.614;27.011;54.625;
Yüksekokul veya fakülte;;26.302;29.352;55.654;
Yüksek lisans;;4.565;4.794;9.359;
Doktora;;1.194;1.126;2.320;
Bilinmeyen;;1.569;1.552;3.121;
Toplam;;98.077;106.242;204.319;
Tuzla;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;387;2.858;3.245;
Okuma yazma bilen fakat bir okul bitirmeyen;;905;3.186;4.091;
Ýlkokul;;12.032;19.456;31.488;
Ýlköðretim;;16.457;12.696;29.153;
Ortaokul veya dengi okul;;8.896;6.876;15.772;
Lise veya dengi okul;;26.194;20.743;46.937;
Yüksekokul veya fakülte;;19.751;18.079;37.830;
Yüksek lisans;;2.576;1.900;4.476;
Doktora;;500;339;839;
Bilinmeyen;;518;496;1.014;
Toplam;;88.216;86.629;174.845;
Ümraniye;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.381;10.181;11.562;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.969;9.216;12.185;
Ýlkokul;;38.975;59.225;98.200;
Ýlköðretim;;37.622;28.349;65.971;
Ortaokul veya dengi okul;;25.935;19.892;45.827;
Lise veya dengi okul;;72.339;60.232;132.571;
Yüksekokul veya fakülte;;54.089;52.005;106.094;
Yüksek lisans;;7.567;5.896;13.463;
Doktora;;1.098;712;1.810;
Bilinmeyen;;1.761;1.817;3.578;
Toplam;;243.736;247.525;491.261;
Üsküdar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;895;6.799;7.694;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.004;6.712;8.716;
Ýlkokul;;26.222;42.220;68.442;
Ýlköðretim;;18.589;14.243;32.832;
Ortaokul veya dengi okul;;18.424;15.672;34.096;
Lise veya dengi okul;;59.464;55.241;114.705;
Yüksekokul veya fakülte;;54.545;55.114;109.659;
Yüksek lisans;;8.708;8.406;17.114;
Doktora;;2.397;1.654;4.051;
Bilinmeyen;;1.653;1.715;3.368;
Toplam;;192.901;207.776;400.677;
Zeytinburnu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;756;4.662;5.418;
Okuma yazma bilen fakat bir okul bitirmeyen;;3.033;6.758;9.791;
Ýlkokul;;20.432;27.140;47.572;
Ýlköðretim;;18.390;12.629;31.019;
Ortaokul veya dengi okul;;11.289;7.948;19.237;
Lise veya dengi okul;;25.783;20.809;46.592;
Yüksekokul veya fakülte;;13.332;13.195;26.527;
Yüksek lisans;;1.449;1.275;2.724;
Doktora;;356;237;593;
Bilinmeyen;;1.196;1.127;2.323;
Toplam;;96.016;95.780;191.796;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
