TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Konya;;;;;
Ahýrlý;;Erkek;Kadýn;Toplam;
Ýlkokul;;6.897;10.212;17.109;
Ýlköðretim;;4.702;4.097;8.799;
Ortaokul veya dengi okul;;2.451;1.330;3.781;
Lise veya dengi okul;;5.404;3.277;8.681;
Yüksekokul veya fakülte;;2.448;1.479;3.927;
Yüksek lisans;;144;49;193;
Doktora;;14;18;32;
Bilinmeyen;;76;86;162;
Toplam;;22.656;23.353;46.009;
Derbent;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;61;191;252;
Okuma yazma bilen fakat bir okul bitirmeyen;;131;403;534;
Ýlkokul;;573;628;1.201;
Ýlköðretim;;310;261;571;
Ortaokul veya dengi okul;;162;86;248;
Lise veya dengi okul;;261;92;353;
Yüksekokul veya fakülte;;70;61;131;
Yüksek lisans;;6;-;6;
Doktora;;1;-;1;
Bilinmeyen;;2;4;6;
Toplam;;1.577;1.726;3.303;
Derebucak;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;80;366;446;
Okuma yazma bilen fakat bir okul bitirmeyen;;163;501;664;
Ýlkokul;;897;969;1.866;
Ýlköðretim;;297;240;537;
Ortaokul veya dengi okul;;268;141;409;
Lise veya dengi okul;;482;219;701;
Yüksekokul veya fakülte;;223;101;324;
Yüksek lisans;;6;2;8;
Doktora;;2;2;4;
Bilinmeyen;;73;61;134;
Toplam;;2.491;2.602;5.093;
Doðanhisar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;91;570;661;
Okuma yazma bilen fakat bir okul bitirmeyen;;155;971;1.126;
Ýlkokul;;2.475;3.606;6.081;
Ýlköðretim;;621;655;1.276;
Ortaokul veya dengi okul;;698;318;1.016;
Lise veya dengi okul;;1.458;553;2.011;
Yüksekokul veya fakülte;;703;284;987;
Yüksek lisans;;45;19;64;
Doktora;;5;3;8;
Bilinmeyen;;12;13;25;
Toplam;;6.263;6.992;13.255;
Emirgazi;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;50;266;316;
Okuma yazma bilen fakat bir okul bitirmeyen;;98;476;574;
Ýlkokul;;926;1.058;1.984;
Ýlköðretim;;596;452;1.048;
Ortaokul veya dengi okul;;348;178;526;
Lise veya dengi okul;;614;357;971;
Yüksekokul veya fakülte;;188;148;336;
Yüksek lisans;;20;1;21;
Doktora;;2;1;3;
Bilinmeyen;;1;1;2;
Toplam;;2.843;2.938;5.781;
Ereðli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;546;3.224;3.770;
Okuma yazma bilen fakat bir okul bitirmeyen;;744;2.899;3.643;
Ýlkokul;;13.159;19.004;32.163;
Ýlköðretim;;8.755;7.110;15.865;
Ortaokul veya dengi okul;;6.011;3.808;9.819;
Lise veya dengi okul;;11.982;10.049;22.031;
Yüksekokul veya fakülte;;7.708;6.301;14.009;
Yüksek lisans;;631;315;946;
Doktora;;78;41;119;
Bilinmeyen;;158;182;340;
Toplam;;49.772;52.933;102.705;
Güneysýnýr;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;41;195;236;
Okuma yazma bilen fakat bir okul bitirmeyen;;89;269;358;
Ýlkokul;;1.254;1.713;2.967;
Ýlköðretim;;830;647;1.477;
Ortaokul veya dengi okul;;293;122;415;
Lise veya dengi okul;;543;322;865;
Yüksekokul veya fakülte;;269;114;383;
Yüksek lisans;;19;-;19;
Doktora;;1;-;1;
Bilinmeyen;;18;17;35;
Toplam;;3.357;3.399;6.756;
Hadim;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;69;315;384;
Okuma yazma bilen fakat bir okul bitirmeyen;;93;487;580;
Ýlkokul;;1.215;2.133;3.348;
Ýlköðretim;;801;631;1.432;
Ortaokul veya dengi okul;;789;282;1.071;
Lise veya dengi okul;;993;478;1.471;
Yüksekokul veya fakülte;;419;245;664;
Yüksek lisans;;37;11;48;
Doktora;;3;-;3;
Bilinmeyen;;9;9;18;
Toplam;;4.428;4.591;9.019;
Halkapýnar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;12;61;73;
Okuma yazma bilen fakat bir okul bitirmeyen;;37;185;222;
Ýlkokul;;739;867;1.606;
Ýlköðretim;;295;199;494;
Ortaokul veya dengi okul;;154;104;258;
Lise veya dengi okul;;218;186;404;
Yüksekokul veya fakülte;;134;70;204;
Yüksek lisans;;6;3;9;
Doktora;;-;2;2;
Bilinmeyen;;4;3;7;
Toplam;;1.599;1.680;3.279;
Hüyük;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;59;509;568;
Okuma yazma bilen fakat bir okul bitirmeyen;;177;988;1.165;
Ýlkokul;;2.301;3.122;5.423;
Ýlköðretim;;796;711;1.507;
Ortaokul veya dengi okul;;727;379;1.106;
Lise veya dengi okul;;1.248;640;1.888;
Yüksekokul veya fakülte;;574;302;876;
Yüksek lisans;;36;9;45;
Doktora;;3;1;4;
Bilinmeyen;;39;49;88;
Toplam;;5.960;6.710;12.670;
Ilgýn;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;242;1.831;2.073;
Okuma yazma bilen fakat bir okul bitirmeyen;;492;2.314;2.806;
Ýlkokul;;5.713;9.076;14.789;
Ýlköðretim;;3.025;2.651;5.676;
Ortaokul veya dengi okul;;2.307;1.184;3.491;
Lise veya dengi okul;;5.364;2.811;8.175;
Yüksekokul veya fakülte;;2.381;1.303;3.684;
Yüksek lisans;;220;103;323;
Doktora;;14;12;26;
Bilinmeyen;;31;40;71;
Toplam;;19.789;21.325;41.114;
Kadýnhaný;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;89;656;745;
Okuma yazma bilen fakat bir okul bitirmeyen;;253;1.504;1.757;
Ýlkokul;;3.550;4.963;8.513;
Ýlköðretim;;2.330;1.796;4.126;
Ortaokul veya dengi okul;;1.134;470;1.604;
Lise veya dengi okul;;2.382;1.131;3.513;
Yüksekokul veya fakülte;;984;507;1.491;
Yüksek lisans;;68;19;87;
Doktora;;7;2;9;
Bilinmeyen;;12;14;26;
Toplam;;10.809;11.062;21.871;
Karapýnar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;128;1.009;1.137;
Okuma yazma bilen fakat bir okul bitirmeyen;;245;1.183;1.428;
Ýlkokul;;5.473;7.161;12.634;
Ýlköðretim;;3.380;2.738;6.118;
Ortaokul veya dengi okul;;1.746;1.068;2.814;
Lise veya dengi okul;;3.657;2.569;6.226;
Yüksekokul veya fakülte;;1.768;1.387;3.155;
Yüksek lisans;;135;58;193;
Doktora;;18;12;30;
Bilinmeyen;;13;20;33;
Toplam;;16.563;17.205;33.768;
Karatay;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;647;4.728;5.375;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.943;6.434;8.377;
Ýlkokul;;26.323;40.306;66.629;
Ýlköðretim;;27.823;19.929;47.752;
Ortaokul veya dengi okul;;8.997;6.379;15.376;
Lise veya dengi okul;;20.246;16.408;36.654;
Yüksekokul veya fakülte;;13.516;9.900;23.416;
Yüksek lisans;;1.251;631;1.882;
Doktora;;216;130;346;
Bilinmeyen;;518;516;1.034;
Toplam;;101.480;105.361;206.841;
Kulu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;207;1.668;1.875;
Okuma yazma bilen fakat bir okul bitirmeyen;;678;1.977;2.655;
Ýlkokul;;5.159;6.344;11.503;
Ýlköðretim;;3.205;2.576;5.781;
Ortaokul veya dengi okul;;1.817;1.010;2.827;
Lise veya dengi okul;;2.905;2.097;5.002;
Yüksekokul veya fakülte;;1.268;974;2.242;
Yüksek lisans;;126;78;204;
Doktora;;11;6;17;
Bilinmeyen;;1.358;1.318;2.676;
Toplam;;16.734;18.048;34.782;
Meram;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;525;4.027;4.552;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.326;5.554;6.880;
Ýlkokul;;26.352;43.675;70.027;
Ýlköðretim;;24.495;18.546;43.041;
Ortaokul veya dengi okul;;10.137;6.985;17.122;
Lise veya dengi okul;;26.263;21.641;47.904;
Yüksekokul veya fakülte;;19.747;15.332;35.079;
Yüksek lisans;;2.616;1.896;4.512;
Doktora;;1.127;569;1.696;
Bilinmeyen;;513;522;1.035;
Toplam;;113.101;118.747;231.848;
Sarayönü;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;39;442;481;
Okuma yazma bilen fakat bir okul bitirmeyen;;120;666;786;
Ýlkokul;;2.525;4.538;7.063;
Ýlköðretim;;1.973;1.651;3.624;
Ortaokul veya dengi okul;;1.077;576;1.653;
Lise veya dengi okul;;2.549;1.178;3.727;
Yüksekokul veya fakülte;;1.014;524;1.538;
Yüksek lisans;;61;20;81;
Doktora;;8;12;20;
Bilinmeyen;;42;33;75;
Toplam;;9.408;9.640;19.048;
Selçuklu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;492;5.929;6.421;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.696;8.800;10.496;
Ýlkokul;;35.180;68.079;103.259;
Ýlköðretim;;36.817;31.429;68.246;
Ortaokul veya dengi okul;;18.785;14.569;33.354;
Lise veya dengi okul;;57.344;46.860;104.204;
Yüksekokul veya fakülte;;48.290;37.494;85.784;
Yüksek lisans;;5.908;4.109;10.017;
Doktora;;1.897;963;2.860;
Bilinmeyen;;988;1.054;2.042;
Toplam;;207.397;219.286;426.683;
Seydiþehir;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;188;1.173;1.361;
Okuma yazma bilen fakat bir okul bitirmeyen;;486;2.460;2.946;
Ýlkokul;;6.623;10.014;16.637;
Ýlköðretim;;2.992;2.445;5.437;
Ortaokul veya dengi okul;;2.497;1.803;4.300;
Lise veya dengi okul;;6.352;4.062;10.414;
Yüksekokul veya fakülte;;3.790;2.528;6.318;
Yüksek lisans;;326;158;484;
Doktora;;39;17;56;
Bilinmeyen;;73;77;150;
Toplam;;23.366;24.737;48.103;
Taþkent;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;32;224;256;
Okuma yazma bilen fakat bir okul bitirmeyen;;75;304;379;
Ýlkokul;;742;1.081;1.823;
Ýlköðretim;;345;213;558;
Ortaokul veya dengi okul;;241;116;357;
Lise veya dengi okul;;476;239;715;
Yüksekokul veya fakülte;;241;136;377;
Yüksek lisans;;19;4;23;
Doktora;;4;2;6;
Bilinmeyen;;8;10;18;
Toplam;;2.183;2.329;4.512;
Tuzlukçu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;31;187;218;
Okuma yazma bilen fakat bir okul bitirmeyen;;81;420;501;
Ýlkokul;;977;1.329;2.306;
Ýlköðretim;;270;295;565;
Ortaokul veya dengi okul;;284;144;428;
Lise veya dengi okul;;677;270;947;
Yüksekokul veya fakülte;;151;84;235;
Yüksek lisans;;11;6;17;
Doktora;;3;4;7;
Bilinmeyen;;9;8;17;
Toplam;;2.494;2.747;5.241;
Yalýhüyük;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;2;63;65;
Okuma yazma bilen fakat bir okul bitirmeyen;;24;88;112;
Ýlkokul;;311;354;665;
Ýlköðretim;;88;34;122;
Ortaokul veya dengi okul;;59;23;82;
Lise veya dengi okul;;86;57;143;
Yüksekokul veya fakülte;;44;50;94;
Yüksek lisans;;-;2;2;
Doktora;;0;0;0;
Bilinmeyen;;24;30;54;
Toplam;;638;701;1.339;
Yunak;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;127;1.010;1.137;
Okuma yazma bilen fakat bir okul bitirmeyen;;300;1.258;1.558;
Ýlkokul;;2.793;3.196;5.989;
Ýlköðretim;;1.268;1.132;2.400;
Ortaokul veya dengi okul;;921;407;1.328;
Lise veya dengi okul;;1.724;834;2.558;
Yüksekokul veya fakülte;;596;440;1.036;
Yüksek lisans;;45;20;65;
Doktora;;3;3;6;
Bilinmeyen;;111;94;205;
Toplam;;7.888;8.394;16.282;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
