TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Çorum;;;;;
Alaca;;Erkek;Kadýn;Toplam;
Ýlkokul;;4.416;5.550;9.966;
Ýlköðretim;;2.347;2.073;4.420;
Ortaokul veya dengi okul;;1.773;1.097;2.870;
Lise veya dengi okul;;3.786;2.422;6.208;
Yüksekokul veya fakülte;;1.878;1.203;3.081;
Yüksek lisans;;121;55;176;
Doktora;;22;15;37;
Bilinmeyen;;26;40;66;
Toplam;;16.102;17.033;33.135;
Sungurlu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;693;3.507;4.200;
Okuma yazma bilen fakat bir okul bitirmeyen;;950;1.793;2.743;
Ýlkokul;;5.703;6.206;11.909;
Ýlköðretim;;2.476;2.380;4.856;
Ortaokul veya dengi okul;;1.989;1.175;3.164;
Lise veya dengi okul;;3.813;2.497;6.310;
Yüksekokul veya fakülte;;1.926;1.298;3.224;
Yüksek lisans;;126;60;186;
Doktora;;17;19;36;
Bilinmeyen;;84;121;205;
Toplam;;17.777;19.056;36.833;
Uðurludað;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;45;256;301;
Okuma yazma bilen fakat bir okul bitirmeyen;;240;600;840;
Ýlkokul;;878;904;1.782;
Ýlköðretim;;376;275;651;
Ortaokul veya dengi okul;;301;134;435;
Lise veya dengi okul;;433;245;678;
Yüksekokul veya fakülte;;146;75;221;
Yüksek lisans;;7;2;9;
Doktora;;1;2;3;
Bilinmeyen;;6;8;14;
Toplam;;2.433;2.501;4.934;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
