TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Yozgat;;;;;
Akdaðmadeni;;Erkek;Kadýn;Toplam;
Okuma yazma bilen fakat bir okul bitirmeyen;;62;157;219;
Ýlkokul;;645;1.026;1.671;
Ýlköðretim;;251;218;469;
Ortaokul veya dengi okul;;328;174;502;
Lise veya dengi okul;;549;328;877;
Yüksekokul veya fakülte;;205;124;329;
Yüksek lisans;;11;12;23;
Doktora;;1;2;3;
Bilinmeyen;;28;33;61;
Toplam;;2.095;2.217;4.312;
Yerköy;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;146;1.231;1.377;
Okuma yazma bilen fakat bir okul bitirmeyen;;404;1.132;1.536;
Ýlkokul;;2.815;4.750;7.565;
Ýlköðretim;;1.458;1.740;3.198;
Ortaokul veya dengi okul;;1.787;1.094;2.881;
Lise veya dengi okul;;4.246;2.668;6.914;
Yüksekokul veya fakülte;;1.884;1.294;3.178;
Yüksek lisans;;128;64;192;
Doktora;;11;10;21;
Bilinmeyen;;94;138;232;
Toplam;;12.973;14.121;27.094;
Yozgat Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;281;2.064;2.345;
Okuma yazma bilen fakat bir okul bitirmeyen;;493;1.469;1.962;
Ýlkokul;;5.933;9.886;15.819;
Ýlköðretim;;4.419;4.349;8.768;
Ortaokul veya dengi okul;;3.398;2.852;6.250;
Lise veya dengi okul;;10.785;8.091;18.876;
Yüksekokul veya fakülte;;6.919;5.198;12.117;
Yüksek lisans;;630;407;1.037;
Doktora;;261;142;403;
Bilinmeyen;;236;341;577;
Toplam;;33.355;34.799;68.154;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
