TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Trabzon;;;;;
Akçaabat;;Erkek;Kadýn;Toplam;
Ýlköðretim;;601;434;1.035;
Ortaokul veya dengi okul;;565;302;867;
Lise veya dengi okul;;1.433;831;2.264;
Yüksekokul veya fakülte;;885;458;1.343;
Yüksek lisans;;53;35;88;
Doktora;;11;2;13;
Bilinmeyen;;70;64;134;
Toplam;;5.374;5.685;11.059;
Dernekpazarý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;21;296;317;
Okuma yazma bilen fakat bir okul bitirmeyen;;77;254;331;
Ýlkokul;;534;640;1.174;
Ýlköðretim;;142;109;251;
Ortaokul veya dengi okul;;180;73;253;
Lise veya dengi okul;;399;219;618;
Yüksekokul veya fakülte;;231;108;339;
Yüksek lisans;;14;7;21;
Doktora;;3;1;4;
Bilinmeyen;;7;17;24;
Toplam;;1.608;1.724;3.332;
Düzköy;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;94;900;994;
Okuma yazma bilen fakat bir okul bitirmeyen;;199;792;991;
Ýlkokul;;1.415;1.740;3.155;
Ýlköðretim;;912;674;1.586;
Ortaokul veya dengi okul;;565;335;900;
Lise veya dengi okul;;1.439;772;2.211;
Yüksekokul veya fakülte;;439;291;730;
Yüksek lisans;;16;10;26;
Doktora;;3;4;7;
Bilinmeyen;;46;36;82;
Toplam;;5.128;5.554;10.682;
Hayrat;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;67;565;632;
Okuma yazma bilen fakat bir okul bitirmeyen;;130;446;576;
Ýlkokul;;1.049;1.282;2.331;
Ýlköðretim;;537;348;885;
Ortaokul veya dengi okul;;351;169;520;
Lise veya dengi okul;;660;355;1.015;
Yüksekokul veya fakülte;;269;145;414;
Yüksek lisans;;9;7;16;
Doktora;;3;2;5;
Bilinmeyen;;21;29;50;
Toplam;;3.096;3.348;6.444;
Köprübaþý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;35;330;365;
Okuma yazma bilen fakat bir okul bitirmeyen;;104;313;417;
Ýlkokul;;552;646;1.198;
Ýlköðretim;;223;179;402;
Ortaokul veya dengi okul;;182;57;239;
Lise veya dengi okul;;531;270;801;
Yüksekokul veya fakülte;;209;112;321;
Yüksek lisans;;15;6;21;
Doktora;;2;5;7;
Bilinmeyen;;36;36;72;
Toplam;;1.889;1.954;3.843;
Maçka;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;84;1.138;1.222;
Okuma yazma bilen fakat bir okul bitirmeyen;;367;1.097;1.464;
Ýlkokul;;2.653;3.351;6.004;
Ýlköðretim;;1.234;781;2.015;
Ortaokul veya dengi okul;;914;607;1.521;
Lise veya dengi okul;;2.640;1.785;4.425;
Yüksekokul veya fakülte;;1.400;889;2.289;
Yüksek lisans;;55;37;92;
Doktora;;10;7;17;
Bilinmeyen;;99;95;194;
Toplam;;9.456;9.787;19.243;
Of;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;189;1.635;1.824;
Okuma yazma bilen fakat bir okul bitirmeyen;;449;1.908;2.357;
Ýlkokul;;4.118;6.174;10.292;
Ýlköðretim;;2.483;1.847;4.330;
Ortaokul veya dengi okul;;1.847;1.139;2.986;
Lise veya dengi okul;;4.389;2.640;7.029;
Yüksekokul veya fakülte;;2.334;1.517;3.851;
Yüksek lisans;;156;62;218;
Doktora;;14;16;30;
Bilinmeyen;;101;117;218;
Toplam;;16.080;17.055;33.135;
Ortahisar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;726;6.424;7.150;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.465;6.342;7.807;
Ýlkokul;;16.956;24.152;41.108;
Ýlköðretim;;13.507;9.781;23.288;
Ortaokul veya dengi okul;;10.472;8.963;19.435;
Lise veya dengi okul;;39.799;36.208;76.007;
Yüksekokul veya fakülte;;26.432;24.047;50.479;
Yüksek lisans;;2.825;2.333;5.158;
Doktora;;1.175;663;1.838;
Bilinmeyen;;758;922;1.680;
Toplam;;114.115;119.835;233.950;
Sürmene;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;75;1.110;1.185;
Okuma yazma bilen fakat bir okul bitirmeyen;;253;1.130;1.383;
Ýlkokul;;2.444;3.266;5.710;
Ýlköðretim;;1.341;1.047;2.388;
Ortaokul veya dengi okul;;933;608;1.541;
Lise veya dengi okul;;2.848;1.847;4.695;
Yüksekokul veya fakülte;;1.410;1.086;2.496;
Yüksek lisans;;96;61;157;
Doktora;;18;6;24;
Bilinmeyen;;75;65;140;
Toplam;;9.493;10.226;19.719;
Þalpazarý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;104;872;976;
Okuma yazma bilen fakat bir okul bitirmeyen;;272;648;920;
Ýlkokul;;1.283;1.675;2.958;
Ýlköðretim;;458;342;800;
Ortaokul veya dengi okul;;524;279;803;
Lise veya dengi okul;;1.159;645;1.804;
Yüksekokul veya fakülte;;590;290;880;
Yüksek lisans;;30;6;36;
Doktora;;3;3;6;
Bilinmeyen;;24;24;48;
Toplam;;4.447;4.784;9.231;
Tonya;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;121;899;1.020;
Okuma yazma bilen fakat bir okul bitirmeyen;;261;587;848;
Ýlkokul;;1.075;1.843;2.918;
Ýlköðretim;;633;466;1.099;
Ortaokul veya dengi okul;;709;472;1.181;
Lise veya dengi okul;;1.878;1.346;3.224;
Yüksekokul veya fakülte;;847;544;1.391;
Yüksek lisans;;60;23;83;
Doktora;;6;7;13;
Bilinmeyen;;38;33;71;
Toplam;;5.628;6.220;11.848;
Vakfýkebir;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;119;998;1.117;
Okuma yazma bilen fakat bir okul bitirmeyen;;286;1.115;1.401;
Ýlkokul;;2.000;2.730;4.730;
Ýlköðretim;;956;985;1.941;
Ortaokul veya dengi okul;;1.056;777;1.833;
Lise veya dengi okul;;3.516;2.619;6.135;
Yüksekokul veya fakülte;;1.890;1.475;3.365;
Yüksek lisans;;121;74;195;
Doktora;;14;13;27;
Bilinmeyen;;54;59;113;
Toplam;;10.012;10.845;20.857;
Yomra;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;149;1.083;1.232;
Okuma yazma bilen fakat bir okul bitirmeyen;;439;1.468;1.907;
Ýlkokul;;2.747;3.546;6.293;
Ýlköðretim;;1.893;1.431;3.324;
Ortaokul veya dengi okul;;1.384;861;2.245;
Lise veya dengi okul;;3.761;2.896;6.657;
Yüksekokul veya fakülte;;2.306;2.003;4.309;
Yüksek lisans;;233;205;438;
Doktora;;99;74;173;
Bilinmeyen;;81;72;153;
Toplam;;13.092;13.639;26.731;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
