TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Hatay;;;;;
Altýnözü;;Erkek;Kadýn;Toplam;
Ortaokul veya dengi okul;;3.591;3.329;6.920;
Lise veya dengi okul;;6.326;7.557;13.883;
Yüksekokul veya fakülte;;3.574;3.885;7.459;
Yüksek lisans;;331;187;518;
Doktora;;32;21;53;
Bilinmeyen;;424;178;602;
Toplam;;37.670;42.431;80.101;
Yayladaðý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;162;543;705;
Okuma yazma bilen fakat bir okul bitirmeyen;;451;1.453;1.904;
Ýlkokul;;2.803;3.453;6.256;
Ýlköðretim;;1.837;1.222;3.059;
Ortaokul veya dengi okul;;1.123;717;1.840;
Lise veya dengi okul;;1.761;1.035;2.796;
Yüksekokul veya fakülte;;803;474;1.277;
Yüksek lisans;;51;13;64;
Doktora;;3;2;5;
Bilinmeyen;;138;146;284;
Toplam;;9.132;9.058;18.190;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
