TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Giresun;;;;;
Alucra;;Erkek;Kadýn;Toplam;
Okuma yazma bilen fakat bir okul bitirmeyen;;220;948;1.168;
Ýlkokul;;1.139;1.408;2.547;
Ýlköðretim;;360;361;721;
Ortaokul veya dengi okul;;681;440;1.121;
Lise veya dengi okul;;1.621;1.131;2.752;
Yüksekokul veya fakülte;;704;401;1.105;
Yüksek lisans;;30;17;47;
Doktora;;4;4;8;
Bilinmeyen;;41;34;75;
Toplam;;4.895;5.444;10.339;
Giresun Merkez;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;363;3.334;3.697;
Okuma yazma bilen fakat bir okul bitirmeyen;;774;4.150;4.924;
Ýlkokul;;8.636;10.349;18.985;
Ýlköðretim;;5.962;5.339;11.301;
Ortaokul veya dengi okul;;4.797;3.971;8.768;
Lise veya dengi okul;;15.188;12.698;27.886;
Yüksekokul veya fakülte;;10.603;9.195;19.798;
Yüksek lisans;;952;693;1.645;
Doktora;;367;226;593;
Bilinmeyen;;595;608;1.203;
Toplam;;48.237;50.563;98.800;
Görele;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;183;1.215;1.398;
Okuma yazma bilen fakat bir okul bitirmeyen;;374;2.134;2.508;
Ýlkokul;;3.235;3.236;6.471;
Ýlköðretim;;1.336;1.196;2.532;
Ortaokul veya dengi okul;;1.533;869;2.402;
Lise veya dengi okul;;3.192;2.415;5.607;
Yüksekokul veya fakülte;;1.692;1.223;2.915;
Yüksek lisans;;105;82;187;
Doktora;;13;9;22;
Bilinmeyen;;87;85;172;
Toplam;;11.750;12.464;24.214;
Güce;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;86;288;374;
Okuma yazma bilen fakat bir okul bitirmeyen;;287;854;1.141;
Ýlkokul;;876;837;1.713;
Ýlköðretim;;572;366;938;
Ortaokul veya dengi okul;;297;162;459;
Lise veya dengi okul;;614;360;974;
Yüksekokul veya fakülte;;280;140;420;
Yüksek lisans;;17;8;25;
Doktora;;2;5;7;
Bilinmeyen;;9;6;15;
Toplam;;3.040;3.026;6.066;
Keþap;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;115;965;1.080;
Okuma yazma bilen fakat bir okul bitirmeyen;;280;1.437;1.717;
Ýlkokul;;2.613;2.760;5.373;
Ýlköðretim;;843;769;1.612;
Ortaokul veya dengi okul;;834;506;1.340;
Lise veya dengi okul;;2.273;1.421;3.694;
Yüksekokul veya fakülte;;1.105;746;1.851;
Yüksek lisans;;46;34;80;
Doktora;;9;4;13;
Bilinmeyen;;130;133;263;
Toplam;;8.248;8.775;17.023;
Piraziz;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;57;334;391;
Okuma yazma bilen fakat bir okul bitirmeyen;;242;958;1.200;
Ýlkokul;;1.554;1.667;3.221;
Ýlköðretim;;626;465;1.091;
Ortaokul veya dengi okul;;520;387;907;
Lise veya dengi okul;;1.349;967;2.316;
Yüksekokul veya fakülte;;730;547;1.277;
Yüksek lisans;;55;30;85;
Doktora;;11;5;16;
Bilinmeyen;;38;36;74;
Toplam;;5.182;5.396;10.578;
Þebinkarahisar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;218;1.009;1.227;
Okuma yazma bilen fakat bir okul bitirmeyen;;424;1.043;1.467;
Ýlkokul;;2.277;2.528;4.805;
Ýlköðretim;;818;792;1.610;
Ortaokul veya dengi okul;;779;507;1.286;
Lise veya dengi okul;;2.210;1.360;3.570;
Yüksekokul veya fakülte;;1.105;708;1.813;
Yüksek lisans;;70;40;110;
Doktora;;30;21;51;
Bilinmeyen;;16;30;46;
Toplam;;7.947;8.038;15.985;
Tirebolu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;180;1.196;1.376;
Okuma yazma bilen fakat bir okul bitirmeyen;;496;1.924;2.420;
Ýlkokul;;2.876;3.312;6.188;
Ýlköðretim;;1.291;1.106;2.397;
Ortaokul veya dengi okul;;1.543;1.036;2.579;
Lise veya dengi okul;;3.559;2.351;5.910;
Yüksekokul veya fakülte;;1.857;1.437;3.294;
Yüksek lisans;;111;59;170;
Doktora;;22;16;38;
Bilinmeyen;;89;79;168;
Toplam;;12.024;12.516;24.540;
Yaðlýdere;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;159;848;1.007;
Okuma yazma bilen fakat bir okul bitirmeyen;;630;1.635;2.265;
Ýlkokul;;1.829;1.622;3.451;
Ýlköðretim;;789;626;1.415;
Ortaokul veya dengi okul;;605;315;920;
Lise veya dengi okul;;1.300;757;2.057;
Yüksekokul veya fakülte;;497;253;750;
Yüksek lisans;;21;11;32;
Doktora;;1;1;2;
Bilinmeyen;;74;63;137;
Toplam;;5.905;6.131;12.036;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
