TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Balýkesir;;;;;
Altýeylül;;Erkek;Kadýn;Toplam;
Yüksek lisans;;31;17;48;
Doktora;;6;2;8;
Bilinmeyen;;10;38;48;
Toplam;;10.236;10.464;20.700;
Ývrindi;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;309;1.144;1.453;
Okuma yazma bilen fakat bir okul bitirmeyen;;892;1.341;2.233;
Ýlkokul;;4.883;6.346;11.229;
Ýlköðretim;;1.778;1.456;3.234;
Ortaokul veya dengi okul;;1.320;842;2.162;
Lise veya dengi okul;;2.636;1.500;4.136;
Yüksekokul veya fakülte;;1.052;677;1.729;
Yüksek lisans;;48;21;69;
Doktora;;3;6;9;
Bilinmeyen;;20;27;47;
Toplam;;12.941;13.360;26.301;
Karesi;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;249;1.340;1.589;
Okuma yazma bilen fakat bir okul bitirmeyen;;667;2.496;3.163;
Ýlkokul;;12.900;23.033;35.933;
Ýlköðretim;;8.355;7.003;15.358;
Ortaokul veya dengi okul;;6.279;5.371;11.650;
Lise veya dengi okul;;19.902;16.537;36.439;
Yüksekokul veya fakülte;;15.016;12.245;27.261;
Yüksek lisans;;1.181;858;2.039;
Doktora;;280;176;456;
Bilinmeyen;;237;208;445;
Toplam;;65.066;69.267;134.333;
Kepsut;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;95;492;587;
Okuma yazma bilen fakat bir okul bitirmeyen;;591;1.342;1.933;
Ýlkokul;;3.445;4.384;7.829;
Ýlköðretim;;1.221;894;2.115;
Ortaokul veya dengi okul;;867;501;1.368;
Lise veya dengi okul;;1.461;910;2.371;
Yüksekokul veya fakülte;;591;348;939;
Yüksek lisans;;49;8;57;
Doktora;;6;6;12;
Bilinmeyen;;27;34;61;
Toplam;;8.353;8.919;17.272;
Manyas;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;54;181;235;
Okuma yazma bilen fakat bir okul bitirmeyen;;400;1.048;1.448;
Ýlkokul;;3.218;3.861;7.079;
Ýlköðretim;;867;762;1.629;
Ortaokul veya dengi okul;;841;590;1.431;
Lise veya dengi okul;;1.691;1.134;2.825;
Yüksekokul veya fakülte;;730;539;1.269;
Yüksek lisans;;48;26;74;
Doktora;;6;3;9;
Bilinmeyen;;29;17;46;
Toplam;;7.884;8.161;16.045;
Marmara;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;30;100;130;
Okuma yazma bilen fakat bir okul bitirmeyen;;95;159;254;
Ýlkokul;;1.375;1.556;2.931;
Ýlköðretim;;609;418;1.027;
Ortaokul veya dengi okul;;529;303;832;
Lise veya dengi okul;;996;757;1.753;
Yüksekokul veya fakülte;;454;352;806;
Yüksek lisans;;32;21;53;
Doktora;;5;5;10;
Bilinmeyen;;43;41;84;
Toplam;;4.168;3.712;7.880;
Savaþtepe;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;114;609;723;
Okuma yazma bilen fakat bir okul bitirmeyen;;331;697;1.028;
Ýlkokul;;1.927;3.046;4.973;
Ýlköðretim;;1.164;804;1.968;
Ortaokul veya dengi okul;;873;486;1.359;
Lise veya dengi okul;;1.764;1.054;2.818;
Yüksekokul veya fakülte;;774;510;1.284;
Yüksek lisans;;47;27;74;
Doktora;;3;1;4;
Bilinmeyen;;18;23;41;
Toplam;;7.015;7.257;14.272;
Sýndýrgý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;250;1.255;1.505;
Okuma yazma bilen fakat bir okul bitirmeyen;;923;2.769;3.692;
Ýlkokul;;5.760;6.576;12.336;
Ýlköðretim;;1.577;1.195;2.772;
Ortaokul veya dengi okul;;1.245;719;1.964;
Lise veya dengi okul;;2.670;1.635;4.305;
Yüksekokul veya fakülte;;1.239;812;2.051;
Yüksek lisans;;76;39;115;
Doktora;;12;4;16;
Bilinmeyen;;17;48;65;
Toplam;;13.769;15.052;28.821;
Susurluk;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;109;609;718;
Okuma yazma bilen fakat bir okul bitirmeyen;;473;1.284;1.757;
Ýlkokul;;4.805;6.929;11.734;
Ýlköðretim;;1.767;1.392;3.159;
Ortaokul veya dengi okul;;1.701;1.169;2.870;
Lise veya dengi okul;;4.233;3.042;7.275;
Yüksekokul veya fakülte;;1.899;1.518;3.417;
Yüksek lisans;;78;66;144;
Doktora;;6;9;15;
Bilinmeyen;;43;64;107;
Toplam;;15.114;16.082;31.196;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
