TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Ordu;;;;;
Akkuþ;;Erkek;Kadýn;Toplam;
Ýlköðretim;;855;538;1.393;
Ortaokul veya dengi okul;;684;278;962;
Lise veya dengi okul;;1.098;519;1.617;
Yüksekokul veya fakülte;;481;234;715;
Yüksek lisans;;21;11;32;
Doktora;;8;3;11;
Bilinmeyen;;40;49;89;
Toplam;;6.628;6.488;13.116;
Perþembe;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;260;1.321;1.581;
Okuma yazma bilen fakat bir okul bitirmeyen;;439;1.959;2.398;
Ýlkokul;;3.548;3.958;7.506;
Ýlköðretim;;1.166;1.007;2.173;
Ortaokul veya dengi okul;;1.724;1.085;2.809;
Lise veya dengi okul;;3.644;2.445;6.089;
Yüksekokul veya fakülte;;1.634;1.115;2.749;
Yüksek lisans;;80;51;131;
Doktora;;8;11;19;
Bilinmeyen;;91;93;184;
Toplam;;12.594;13.045;25.639;
Ulubey;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;194;1.219;1.413;
Okuma yazma bilen fakat bir okul bitirmeyen;;464;1.492;1.956;
Ýlkokul;;2.687;2.277;4.964;
Ýlköðretim;;892;573;1.465;
Ortaokul veya dengi okul;;766;399;1.165;
Lise veya dengi okul;;1.638;921;2.559;
Yüksekokul veya fakülte;;566;329;895;
Yüksek lisans;;32;7;39;
Doktora;;5;2;7;
Bilinmeyen;;61;55;116;
Toplam;;7.305;7.274;14.579;
Ünye;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.228;6.131;7.359;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.936;4.861;6.797;
Ýlkokul;;11.035;12.975;24.010;
Ýlköðretim;;6.867;5.484;12.351;
Ortaokul veya dengi okul;;4.949;3.270;8.219;
Lise veya dengi okul;;11.824;8.724;20.548;
Yüksekokul veya fakülte;;6.423;5.291;11.714;
Yüksek lisans;;409;293;702;
Doktora;;68;57;125;
Bilinmeyen;;201;206;407;
Toplam;;44.940;47.292;92.232;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
