TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Bursa;;;;;
Büyükorhan;;Erkek;Kadýn;Toplam;
Yüksek lisans;;321;190;511;
Doktora;;52;34;86;
Bilinmeyen;;136;150;286;
Toplam;;37.839;39.944;77.783;
Nilüfer;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;475;3.422;3.897;
Okuma yazma bilen fakat bir okul bitirmeyen;;982;3.307;4.289;
Ýlkokul;;14.944;27.412;42.356;
Ýlköðretim;;12.723;12.021;24.744;
Ortaokul veya dengi okul;;12.096;12.039;24.135;
Lise veya dengi okul;;49.386;44.652;94.038;
Yüksekokul veya fakülte;;49.505;47.027;96.532;
Yüksek lisans;;6.283;5.456;11.739;
Doktora;;1.471;986;2.457;
Bilinmeyen;;752;798;1.550;
Toplam;;148.617;157.120;305.737;
Orhaneli;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;298;1.373;1.671;
Okuma yazma bilen fakat bir okul bitirmeyen;;446;596;1.042;
Ýlkokul;;2.514;3.331;5.845;
Ýlköðretim;;1.116;931;2.047;
Ortaokul veya dengi okul;;715;456;1.171;
Lise veya dengi okul;;1.563;960;2.523;
Yüksekokul veya fakülte;;660;406;1.066;
Yüksek lisans;;48;22;70;
Doktora;;11;6;17;
Bilinmeyen;;11;8;19;
Toplam;;7.382;8.089;15.471;
Orhangazi;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;175;1.498;1.673;
Okuma yazma bilen fakat bir okul bitirmeyen;;504;1.523;2.027;
Ýlkokul;;6.820;10.441;17.261;
Ýlköðretim;;4.122;3.838;7.960;
Ortaokul veya dengi okul;;3.637;2.630;6.267;
Lise veya dengi okul;;9.558;6.550;16.108;
Yüksekokul veya fakülte;;4.165;3.231;7.396;
Yüksek lisans;;237;141;378;
Doktora;;31;34;65;
Bilinmeyen;;119;111;230;
Toplam;;29.368;29.997;59.365;
Osmangazi;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.940;13.306;15.246;
Okuma yazma bilen fakat bir okul bitirmeyen;;4.015;12.838;16.853;
Ýlkokul;;54.388;91.085;145.473;
Ýlköðretim;;60.192;49.246;109.438;
Ortaokul veya dengi okul;;36.381;29.833;66.214;
Lise veya dengi okul;;101.652;74.677;176.329;
Yüksekokul veya fakülte;;48.177;43.065;91.242;
Yüksek lisans;;3.258;2.577;5.835;
Doktora;;598;395;993;
Bilinmeyen;;1.726;1.881;3.607;
Toplam;;312.327;318.903;631.230;
Yeniþehir;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;196;1.431;1.627;
Okuma yazma bilen fakat bir okul bitirmeyen;;491;1.197;1.688;
Ýlkokul;;6.793;9.201;15.994;
Ýlköðretim;;2.544;2.248;4.792;
Ortaokul veya dengi okul;;2.158;1.379;3.537;
Lise veya dengi okul;;4.548;3.245;7.793;
Yüksekokul veya fakülte;;2.678;1.956;4.634;
Yüksek lisans;;142;90;232;
Doktora;;20;9;29;
Bilinmeyen;;56;70;126;
Toplam;;19.626;20.826;40.452;
Yýldýrým;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;1.892;12.238;14.130;
Okuma yazma bilen fakat bir okul bitirmeyen;;4.141;13.184;17.325;
Ýlkokul;;39.128;66.983;106.111;
Ýlköðretim;;47.303;35.626;82.929;
Ortaokul veya dengi okul;;27.761;22.093;49.854;
Lise veya dengi okul;;70.346;51.352;121.698;
Yüksekokul veya fakülte;;33.300;27.765;61.065;
Yüksek lisans;;1.918;1.374;3.292;
Doktora;;251;163;414;
Bilinmeyen;;1.395;1.794;3.189;
Toplam;;227.435;232.572;460.007;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
