TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Afyonkarahisar;;;;;
Afyonkarahisar Merkez;;Erkek;Kadýn;Toplam;
Ýlkokul;;1.155;1.715;2.870;
Ýlköðretim;;1.409;937;2.346;
Ortaokul veya dengi okul;;586;293;879;
Lise veya dengi okul;;1.029;370;1.399;
Yüksekokul veya fakülte;;191;101;292;
Yüksek lisans;;8;6;14;
Doktora;;2;1;3;
Bilinmeyen;;2;1;3;
Toplam;;4.508;4.503;9.011;
Dazkýrý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;15;102;117;
Okuma yazma bilen fakat bir okul bitirmeyen;;91;451;542;
Ýlkokul;;1.252;1.822;3.074;
Ýlköðretim;;677;630;1.307;
Ortaokul veya dengi okul;;458;251;709;
Lise veya dengi okul;;1.076;657;1.733;
Yüksekokul veya fakülte;;524;408;932;
Yüksek lisans;;37;9;46;
Doktora;;4;-;4;
Bilinmeyen;;9;8;17;
Toplam;;4.143;4.338;8.481;
Dinar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;182;1.465;1.647;
Okuma yazma bilen fakat bir okul bitirmeyen;;436;1.553;1.989;
Ýlkokul;;4.943;7.034;11.977;
Ýlköðretim;;2.068;2.146;4.214;
Ortaokul veya dengi okul;;1.955;1.236;3.191;
Lise veya dengi okul;;4.683;2.912;7.595;
Yüksekokul veya fakülte;;2.335;1.524;3.859;
Yüksek lisans;;165;95;260;
Doktora;;13;13;26;
Bilinmeyen;;114;105;219;
Toplam;;16.894;18.083;34.977;
Emirdað;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;195;1.326;1.521;
Okuma yazma bilen fakat bir okul bitirmeyen;;537;1.586;2.123;
Ýlkokul;;5.138;5.706;10.844;
Ýlköðretim;;1.805;1.628;3.433;
Ortaokul veya dengi okul;;1.150;661;1.811;
Lise veya dengi okul;;2.742;1.759;4.501;
Yüksekokul veya fakülte;;1.391;995;2.386;
Yüksek lisans;;108;70;178;
Doktora;;12;7;19;
Bilinmeyen;;532;514;1.046;
Toplam;;13.610;14.252;27.862;
Evciler;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;13;159;172;
Okuma yazma bilen fakat bir okul bitirmeyen;;61;365;426;
Ýlkokul;;971;1.210;2.181;
Ýlköðretim;;408;338;746;
Ortaokul veya dengi okul;;304;242;546;
Lise veya dengi okul;;690;390;1.080;
Yüksekokul veya fakülte;;243;147;390;
Yüksek lisans;;25;9;34;
Doktora;;1;-;1;
Bilinmeyen;;18;23;41;
Toplam;;2.734;2.883;5.617;
Hocalar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;42;456;498;
Okuma yazma bilen fakat bir okul bitirmeyen;;144;343;487;
Ýlkokul;;1.620;1.858;3.478;
Ýlköðretim;;509;441;950;
Ortaokul veya dengi okul;;352;129;481;
Lise veya dengi okul;;593;344;937;
Yüksekokul veya fakülte;;230;179;409;
Yüksek lisans;;23;4;27;
Doktora;;1;1;2;
Bilinmeyen;;43;45;88;
Toplam;;3.557;3.800;7.357;
Ýhsaniye;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;104;791;895;
Okuma yazma bilen fakat bir okul bitirmeyen;;256;766;1.022;
Ýlkokul;;2.911;4.471;7.382;
Ýlköðretim;;2.833;2.152;4.985;
Ortaokul veya dengi okul;;1.179;450;1.629;
Lise veya dengi okul;;1.906;966;2.872;
Yüksekokul veya fakülte;;600;403;1.003;
Yüksek lisans;;50;12;62;
Doktora;;5;4;9;
Bilinmeyen;;10;7;17;
Toplam;;9.854;10.022;19.876;
Ýscehisar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;68;635;703;
Okuma yazma bilen fakat bir okul bitirmeyen;;193;636;829;
Ýlkokul;;2.308;3.299;5.607;
Ýlköðretim;;2.354;1.875;4.229;
Ortaokul veya dengi okul;;1.014;415;1.429;
Lise veya dengi okul;;1.657;932;2.589;
Yüksekokul veya fakülte;;636;476;1.112;
Yüksek lisans;;40;26;66;
Doktora;;3;5;8;
Bilinmeyen;;5;6;11;
Toplam;;8.278;8.305;16.583;
Kýzýlören;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;9;127;136;
Okuma yazma bilen fakat bir okul bitirmeyen;;50;232;282;
Ýlkokul;;403;415;818;
Ýlköðretim;;106;110;216;
Ortaokul veya dengi okul;;93;50;143;
Lise veya dengi okul;;172;83;255;
Yüksekokul veya fakülte;;74;48;122;
Yüksek lisans;;6;-;6;
Doktora;;1;-;1;
Bilinmeyen;;11;11;22;
Toplam;;925;1.076;2.001;
Sandýklý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;165;1.417;1.582;
Okuma yazma bilen fakat bir okul bitirmeyen;;619;1.785;2.404;
Ýlkokul;;6.372;9.684;16.056;
Ýlköðretim;;2.811;2.727;5.538;
Ortaokul veya dengi okul;;2.147;1.136;3.283;
Lise veya dengi okul;;4.766;2.970;7.736;
Yüksekokul veya fakülte;;2.475;1.615;4.090;
Yüksek lisans;;172;94;266;
Doktora;;18;12;30;
Bilinmeyen;;146;124;270;
Toplam;;19.691;21.564;41.255;
Sinanpaþa;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;117;1.316;1.433;
Okuma yazma bilen fakat bir okul bitirmeyen;;487;1.455;1.942;
Ýlkokul;;5.122;7.095;12.217;
Ýlköðretim;;3.323;2.636;5.959;
Ortaokul veya dengi okul;;1.910;847;2.757;
Lise veya dengi okul;;2.968;1.268;4.236;
Yüksekokul veya fakülte;;758;535;1.293;
Yüksek lisans;;42;17;59;
Doktora;;5;4;9;
Bilinmeyen;;61;73;134;
Toplam;;14.793;15.246;30.039;
Sultandaðý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;24;362;386;
Okuma yazma bilen fakat bir okul bitirmeyen;;101;744;845;
Ýlkokul;;1.791;2.858;4.649;
Ýlköðretim;;521;553;1.074;
Ortaokul veya dengi okul;;899;629;1.528;
Lise veya dengi okul;;1.918;1.073;2.991;
Yüksekokul veya fakülte;;693;428;1.121;
Yüksek lisans;;48;18;66;
Doktora;;4;2;6;
Bilinmeyen;;16;17;33;
Toplam;;6.015;6.684;12.699;
Þuhut;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;103;766;869;
Okuma yazma bilen fakat bir okul bitirmeyen;;428;1.294;1.722;
Ýlkokul;;4.601;6.820;11.421;
Ýlköðretim;;2.717;2.018;4.735;
Ortaokul veya dengi okul;;1.479;765;2.244;
Lise veya dengi okul;;2.875;1.692;4.567;
Yüksekokul veya fakülte;;1.120;813;1.933;
Yüksek lisans;;111;51;162;
Doktora;;12;7;19;
Bilinmeyen;;21;29;50;
Toplam;;13.467;14.255;27.722;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
