TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Elazýð;;;;;
Aðýn;;Erkek;Kadýn;Toplam;
Okuma yazma bilen fakat bir okul bitirmeyen;;3.712;19.898;23.610;
Ýlkokul;;19.148;38.917;58.065;
Ýlköðretim;;20.494;16.950;37.444;
Ortaokul veya dengi okul;;16.920;11.501;28.421;
Lise veya dengi okul;;48.110;33.614;81.724;
Yüksekokul veya fakülte;;30.363;22.759;53.122;
Yüksek lisans;;3.481;2.301;5.782;
Doktora;;1.204;549;1.753;
Bilinmeyen;;840;945;1.785;
Toplam;;146.517;158.837;305.354;
Karakoçan;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;360;1.074;1.434;
Okuma yazma bilen fakat bir okul bitirmeyen;;673;2.046;2.719;
Ýlkokul;;2.593;3.040;5.633;
Ýlköðretim;;1.971;1.410;3.381;
Ortaokul veya dengi okul;;1.002;537;1.539;
Lise veya dengi okul;;1.912;1.324;3.236;
Yüksekokul veya fakülte;;982;744;1.726;
Yüksek lisans;;88;37;125;
Doktora;;6;6;12;
Bilinmeyen;;144;94;238;
Toplam;;9.731;10.312;20.043;
Keban;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;63;286;349;
Okuma yazma bilen fakat bir okul bitirmeyen;;103;433;536;
Ýlkokul;;502;785;1.287;
Ýlköðretim;;244;261;505;
Ortaokul veya dengi okul;;332;160;492;
Lise veya dengi okul;;774;509;1.283;
Yüksekokul veya fakülte;;346;192;538;
Yüksek lisans;;26;8;34;
Doktora;;6;2;8;
Bilinmeyen;;1;5;6;
Toplam;;2.397;2.641;5.038;
Kovancýlar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;373;1.291;1.664;
Okuma yazma bilen fakat bir okul bitirmeyen;;669;2.514;3.183;
Ýlkokul;;2.598;3.991;6.589;
Ýlköðretim;;2.909;2.116;5.025;
Ortaokul veya dengi okul;;1.634;691;2.325;
Lise veya dengi okul;;2.863;1.826;4.689;
Yüksekokul veya fakülte;;1.407;881;2.288;
Yüksek lisans;;100;35;135;
Doktora;;5;6;11;
Bilinmeyen;;131;100;231;
Toplam;;12.689;13.451;26.140;
Maden;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;116;517;633;
Okuma yazma bilen fakat bir okul bitirmeyen;;305;1.012;1.317;
Ýlkokul;;850;1.222;2.072;
Ýlköðretim;;659;453;1.112;
Ortaokul veya dengi okul;;549;304;853;
Lise veya dengi okul;;1.196;531;1.727;
Yüksekokul veya fakülte;;380;244;624;
Yüksek lisans;;30;8;38;
Doktora;;1;-;1;
Bilinmeyen;;18;38;56;
Toplam;;4.104;4.329;8.433;
Palu;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;265;716;981;
Okuma yazma bilen fakat bir okul bitirmeyen;;337;1.740;2.077;
Ýlkokul;;1.099;1.543;2.642;
Ýlköðretim;;1.604;1.085;2.689;
Ortaokul veya dengi okul;;804;366;1.170;
Lise veya dengi okul;;1.737;779;2.516;
Yüksekokul veya fakülte;;612;294;906;
Yüksek lisans;;45;15;60;
Doktora;;4;-;4;
Bilinmeyen;;20;17;37;
Toplam;;6.527;6.555;13.082;
Sivrice;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;119;545;664;
Okuma yazma bilen fakat bir okul bitirmeyen;;241;851;1.092;
Ýlkokul;;733;885;1.618;
Ýlköðretim;;426;354;780;
Ortaokul veya dengi okul;;332;150;482;
Lise veya dengi okul;;754;342;1.096;
Yüksekokul veya fakülte;;317;159;476;
Yüksek lisans;;19;-;19;
Doktora;;2;-;2;
Bilinmeyen;;18;23;41;
Toplam;;2.961;3.309;6.270;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
