TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Kayseri;;;;;
Akkýþla;;Erkek;Kadýn;Toplam;
Okuma yazma bilen fakat bir okul bitirmeyen;;388;1.951;2.339;
Ýlkokul;;6.718;12.719;19.437;
Ýlköðretim;;6.358;5.511;11.869;
Ortaokul veya dengi okul;;4.882;3.804;8.686;
Lise veya dengi okul;;15.784;13.861;29.645;
Yüksekokul veya fakülte;;13.674;11.832;25.506;
Yüksek lisans;;1.736;1.388;3.124;
Doktora;;591;275;866;
Bilinmeyen;;324;384;708;
Toplam;;50.590;53.405;103.995;
Tomarza;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;116;1.116;1.232;
Okuma yazma bilen fakat bir okul bitirmeyen;;313;838;1.151;
Ýlkokul;;2.684;3.303;5.987;
Ýlköðretim;;1.572;1.093;2.665;
Ortaokul veya dengi okul;;1.132;491;1.623;
Lise veya dengi okul;;1.863;1.017;2.880;
Yüksekokul veya fakülte;;505;350;855;
Yüksek lisans;;28;8;36;
Doktora;;6;6;12;
Bilinmeyen;;83;119;202;
Toplam;;8.302;8.341;16.643;
Yahyalý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;158;1.658;1.816;
Okuma yazma bilen fakat bir okul bitirmeyen;;407;1.352;1.759;
Ýlkokul;;3.386;4.600;7.986;
Ýlköðretim;;3.200;1.675;4.875;
Ortaokul veya dengi okul;;1.251;738;1.989;
Lise veya dengi okul;;2.914;1.995;4.909;
Yüksekokul veya fakülte;;1.554;1.067;2.621;
Yüksek lisans;;105;66;171;
Doktora;;11;8;19;
Bilinmeyen;;42;75;117;
Toplam;;13.028;13.234;26.262;
Yeþilhisar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;47;491;538;
Okuma yazma bilen fakat bir okul bitirmeyen;;145;853;998;
Ýlkokul;;1.822;2.571;4.393;
Ýlköðretim;;766;594;1.360;
Ortaokul veya dengi okul;;652;365;1.017;
Lise veya dengi okul;;1.725;968;2.693;
Yüksekokul veya fakülte;;671;405;1.076;
Yüksek lisans;;43;22;65;
Doktora;;6;-;6;
Bilinmeyen;;27;44;71;
Toplam;;5.904;6.313;12.217;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
