TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Burdur;;;;;
Aðlasun;;Erkek;Kadýn;Toplam;
Bilinmeyen;;21;25;46;
Toplam;;4.869;5.097;9.966;
Çeltikçi;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;18;97;115;
Okuma yazma bilen fakat bir okul bitirmeyen;;27;236;263;
Ýlkokul;;837;1.347;2.184;
Ýlköðretim;;277;192;469;
Ortaokul veya dengi okul;;277;159;436;
Lise veya dengi okul;;409;175;584;
Yüksekokul veya fakülte;;190;117;307;
Yüksek lisans;;7;4;11;
Doktora;;1;2;3;
Bilinmeyen;;5;6;11;
Toplam;;2.048;2.335;4.383;
Gölhisar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;106;601;707;
Okuma yazma bilen fakat bir okul bitirmeyen;;187;657;844;
Ýlkokul;;2.614;2.855;5.469;
Ýlköðretim;;1.249;971;2.220;
Ortaokul veya dengi okul;;838;658;1.496;
Lise veya dengi okul;;1.700;1.514;3.214;
Yüksekokul veya fakülte;;1.321;1.031;2.352;
Yüksek lisans;;108;51;159;
Doktora;;31;12;43;
Bilinmeyen;;115;107;222;
Toplam;;8.269;8.457;16.726;
Karamanlý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;17;125;142;
Okuma yazma bilen fakat bir okul bitirmeyen;;68;328;396;
Ýlkokul;;1.046;1.421;2.467;
Ýlköðretim;;462;335;797;
Ortaokul veya dengi okul;;342;225;567;
Lise veya dengi okul;;802;526;1.328;
Yüksekokul veya fakülte;;359;232;591;
Yüksek lisans;;27;10;37;
Doktora;;2;-;2;
Bilinmeyen;;13;12;25;
Toplam;;3.138;3.214;6.352;
Kemer;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;11;86;97;
Okuma yazma bilen fakat bir okul bitirmeyen;;22;86;108;
Ýlkokul;;593;834;1.427;
Ýlköðretim;;176;156;332;
Ortaokul veya dengi okul;;119;68;187;
Lise veya dengi okul;;263;157;420;
Yüksekokul veya fakülte;;89;60;149;
Yüksek lisans;;2;2;4;
Doktora;;1;2;3;
Bilinmeyen;;2;1;3;
Toplam;;1.278;1.452;2.730;
Tefenni;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;47;251;298;
Okuma yazma bilen fakat bir okul bitirmeyen;;116;472;588;
Ýlkokul;;1.342;1.652;2.994;
Ýlköðretim;;458;459;917;
Ortaokul veya dengi okul;;494;353;847;
Lise veya dengi okul;;932;648;1.580;
Yüksekokul veya fakülte;;499;370;869;
Yüksek lisans;;42;24;66;
Doktora;;5;6;11;
Bilinmeyen;;31;47;78;
Toplam;;3.966;4.282;8.248;
Yeþilova;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;72;473;545;
Okuma yazma bilen fakat bir okul bitirmeyen;;190;782;972;
Ýlkokul;;2.543;3.449;5.992;
Ýlköðretim;;777;536;1.313;
Ortaokul veya dengi okul;;751;414;1.165;
Lise veya dengi okul;;1.217;734;1.951;
Yüksekokul veya fakülte;;557;416;973;
Yüksek lisans;;42;15;57;
Doktora;;6;1;7;
Bilinmeyen;;100;97;197;
Toplam;;6.255;6.917;13.172;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
