TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Denizli;;;;;
Acýpayam;;Erkek;Kadýn;Toplam;
Lise veya dengi okul;;35.851;30.386;66.237;
Yüksekokul veya fakülte;;21.436;19.678;41.114;
Yüksek lisans;;1.757;1.503;3.260;
Doktora;;562;415;977;
Bilinmeyen;;732;787;1.519;
Toplam;;119.476;122.077;241.553;
Sarayköy;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;43;190;233;
Okuma yazma bilen fakat bir okul bitirmeyen;;303;1.227;1.530;
Ýlkokul;;3.506;4.416;7.922;
Ýlköðretim;;1.987;1.480;3.467;
Ortaokul veya dengi okul;;1.330;934;2.264;
Lise veya dengi okul;;2.758;2.276;5.034;
Yüksekokul veya fakülte;;1.293;1.025;2.318;
Yüksek lisans;;80;40;120;
Doktora;;5;8;13;
Bilinmeyen;;66;62;128;
Toplam;;11.371;11.658;23.029;
Serinhisar;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;28;399;427;
Okuma yazma bilen fakat bir okul bitirmeyen;;194;679;873;
Ýlkokul;;2.041;2.064;4.105;
Ýlköðretim;;856;704;1.560;
Ortaokul veya dengi okul;;645;492;1.137;
Lise veya dengi okul;;1.134;978;2.112;
Yüksekokul veya fakülte;;392;360;752;
Yüksek lisans;;23;8;31;
Doktora;;2;5;7;
Bilinmeyen;;17;21;38;
Toplam;;5.332;5.710;11.042;
Tavas;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;122;1.003;1.125;
Okuma yazma bilen fakat bir okul bitirmeyen;;501;2.753;3.254;
Ýlkokul;;7.092;8.069;15.161;
Ýlköðretim;;2.665;1.794;4.459;
Ortaokul veya dengi okul;;1.598;997;2.595;
Lise veya dengi okul;;3.182;2.158;5.340;
Yüksekokul veya fakülte;;1.629;1.207;2.836;
Yüksek lisans;;110;55;165;
Doktora;;15;12;27;
Bilinmeyen;;203;185;388;
Toplam;;17.117;18.233;35.350;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
