TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Samsun;;;;;
Alaçam;;Erkek;Kadýn;Toplam;
Yüksekokul veya fakülte;;867;602;1.469;
Yüksek lisans;;46;25;71;
Doktora;;5;1;6;
Bilinmeyen;;24;22;46;
Toplam;;6.487;6.946;13.433;
Salýpazarý;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;47;215;262;
Okuma yazma bilen fakat bir okul bitirmeyen;;907;2.041;2.948;
Ýlkokul;;2.644;2.411;5.055;
Ýlköðretim;;1.611;1.016;2.627;
Ortaokul veya dengi okul;;591;378;969;
Lise veya dengi okul;;1.017;754;1.771;
Yüksekokul veya fakülte;;415;313;728;
Yüksek lisans;;19;8;27;
Doktora;;4;5;9;
Bilinmeyen;;29;17;46;
Toplam;;7.284;7.158;14.442;
Tekkeköy;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;143;1.081;1.224;
Okuma yazma bilen fakat bir okul bitirmeyen;;700;1.716;2.416;
Ýlkokul;;5.566;6.844;12.410;
Ýlköðretim;;3.946;3.210;7.156;
Ortaokul veya dengi okul;;1.858;1.374;3.232;
Lise veya dengi okul;;4.693;3.259;7.952;
Yüksekokul veya fakülte;;1.908;1.535;3.443;
Yüksek lisans;;78;56;134;
Doktora;;10;8;18;
Bilinmeyen;;67;67;134;
Toplam;;18.969;19.150;38.119;
Terme;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;235;1.482;1.717;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.170;5.973;8.143;
Ýlkokul;;8.782;9.180;17.962;
Ýlköðretim;;3.691;3.063;6.754;
Ortaokul veya dengi okul;;2.881;1.862;4.743;
Lise veya dengi okul;;6.227;4.551;10.778;
Yüksekokul veya fakülte;;2.828;2.268;5.096;
Yüksek lisans;;159;94;253;
Doktora;;19;21;40;
Bilinmeyen;;112;86;198;
Toplam;;27.104;28.580;55.684;
Vezirköprü;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;521;2.386;2.907;
Okuma yazma bilen fakat bir okul bitirmeyen;;2.287;5.383;7.670;
Ýlkokul;;10.232;12.327;22.559;
Ýlköðretim;;6.808;5.930;12.738;
Ortaokul veya dengi okul;;3.058;1.650;4.708;
Lise veya dengi okul;;6.001;3.673;9.674;
Yüksekokul veya fakülte;;2.726;1.994;4.720;
Yüksek lisans;;186;107;293;
Doktora;;24;24;48;
Bilinmeyen;;28;55;83;
Toplam;;31.871;33.529;65.400;
Yakakent;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;10;61;71;
Okuma yazma bilen fakat bir okul bitirmeyen;;274;687;961;
Ýlkokul;;1.166;1.102;2.268;
Ýlköðretim;;419;470;889;
Ortaokul veya dengi okul;;290;295;585;
Lise veya dengi okul;;599;486;1.085;
Yüksekokul veya fakülte;;406;343;749;
Yüksek lisans;;31;21;52;
Doktora;;2;2;4;
Bilinmeyen;;13;2;15;
Toplam;;3.210;3.469;6.679;
19.May;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;25;200;225;
Okuma yazma bilen fakat bir okul bitirmeyen;;482;1.489;1.971;
Ýlkokul;;2.958;3.467;6.425;
Ýlköðretim;;1.609;1.233;2.842;
Ortaokul veya dengi okul;;936;610;1.546;
Lise veya dengi okul;;2.205;1.671;3.876;
Yüksekokul veya fakülte;;1.106;865;1.971;
Yüksek lisans;;64;16;80;
Doktora;;11;12;23;
Bilinmeyen;;199;182;381;
Toplam;;9.595;9.745;19.340;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
