,Şehir,İlçe,Cinsiyet,Okuma yazma bilmeyen,Okuma yazma bilen fakat bir okul bitirmeyen,İlkokul,İlköğretim,Ortaokul veya dengi okul,Lise veya dengi okul,Yüksekokul veya fakülte,Yüksek lisans,Doktora,Bilinmeyen,Toplam
39,Adana,Saimbeyli,Toplam,990,723,3450,1973,1041,1809,874,41,6,35,10942
41,Adana,Sarıçam,Erkek,370,849,9756,12053,6687,16115,6663,433,257,103,53286
42,Adana,Sarıçam,Kadın,2949,2509,15933,8543,4705,12572,5688,304,185,134,53522
43,Adana,Sarıçam,Toplam,3319,3358,25689,20596,11392,28687,12351,737,442,237,106808
45,Adana,Seyhan,Erkek,4223,9314,51414,52419,29158,73688,39701,3432,779,1992,266120
46,Adana,Seyhan,Kadın,22317,23059,73251,33539,21808,63038,35851,2850,585,2027,278325
47,Adana,Seyhan,Toplam,26540,32373,124665,85958,50966,136726,75552,6282,1364,4019,544445
49,Adana,Tufanbeyli,Erkek,137,198,1762,1175,981,1495,630,43,4,32,6457
50,Adana,Tufanbeyli,Kadın,1107,417,2001,806,642,842,434,13,2,34,6298
51,Adana,Tufanbeyli,Toplam,1244,615,3763,1981,1623,2337,1064,56,6,66,12755
53,Adana,Yumurtalık,Erkek,52,171,1893,901,798,1786,830,56,6,21,6514
54,Adana,Yumurtalık,Kadın,618,429,2341,676,539,1366,575,20,2,28,6594
55,Adana,Yumurtalık,Toplam,670,600,4234,1577,1337,3152,1405,76,8,49,13108
57,Adana,Yüreğir,Erkek,2821,5900,28583,32332,16067,34349,14713,839,142,662,136408
58,Adana,Yüreğir,Kadın,15392,16415,36938,19846,10514,26467,12228,515,102,689,139106
59,Adana,Yüreğir,Toplam,18213,22315,65521,52178,26581,60816,26941,1354,244,1351,275514
1,Adıyaman,Adıyaman Merkez,Erkek,1945,2144,12176,17998,11104,28658,19545,1631,426,289,95916
2,Adıyaman,Adıyaman Merkez,Kadın,10883,5497,21703,14371,7557,21838,14607,749,199,398,97802
3,Adıyaman,Adıyaman Merkez,Toplam,12828,7641,33879,32369,18661,50496,34152,2380,625,687,193718
5,Adıyaman,Besni,Erkek,685,1179,6962,4600,2883,5563,2904,244,27,155,25202
6,Adıyaman,Besni,Kadın,4172,2178,8111,3727,1422,3839,2051,89,10,126,25725
7,Adıyaman,Besni,Toplam,4857,3357,15073,8327,4305,9402,4955,333,37,281,50927
9,Adıyaman,Çelikhan,Erkek,140,174,1003,726,580,1809,922,50,2,4,5410
10,Adıyaman,Çelikhan,Kadın,783,529,1536,615,271,1059,441,17,0,10,5261
11,Adıyaman,Çelikhan,Toplam,923,703,2539,1341,851,2868,1363,67,2,14,10671
13,Adıyaman,Gerger,Erkek,426,688,1776,1352,503,598,262,19,2,34,5660
14,Adıyaman,Gerger,Kadın,1922,1074,1286,764,286,353,199,7,1,53,5945
15,Adıyaman,Gerger,Toplam,2348,1762,3062,2116,789,951,461,26,3,87,11605
17,Adıyaman,Gölbaşı,Erkek,299,654,3504,3355,2169,4225,2333,209,24,150,16922
18,Adıyaman,Gölbaşı,Kadın,2081,1163,4712,3252,1229,2954,1698,70,14,107,17280
19,Adıyaman,Gölbaşı,Toplam,2380,1817,8216,6607,3398,7179,4031,279,38,257,34202
21,Adıyaman,Kahta,Erkek,1113,1926,7834,8945,4583,8244,4558,327,30,77,37637
22,Adıyaman,Kahta,Kadın,5968,3673,9678,6813,2833,5353,2761,96,9,140,37324
23,Adıyaman,Kahta,Toplam,7081,5599,17512,15758,7416,13597,7319,423,39,217,74961
25,Adıyaman,Samsat,Erkek,87,124,449,556,311,629,254,14,1,2,2427
26,Adıyaman,Samsat,Kadın,397,240,666,424,143,366,133,0,0,10,2379
27,Adıyaman,Samsat,Toplam,484,364,1115,980,454,995,387,14,1,12,4806
29,Adıyaman,Sincik,Erkek,330,386,1450,1452,657,897,421,22,2,5,5622
30,Adıyaman,Sincik,Kadın,1628,662,1326,1185,249,585,245,2,0,8,5890
31,Adıyaman,Sincik,Toplam,1958,1048,2776,2637,906,1482,666,24,2,13,11512
33,Adıyaman,Tut,Erkek,143,163,963,734,475,694,285,10,0,9,3476
34,Adıyaman,Tut,Kadın,754,300,973,490,234,429,208,5,1,9,3403
35,Adıyaman,Tut,Toplam,897,463,1936,1224,709,1123,493,15,1,18,6879
1,Afyonkarahisar,Afyonkarahisar Merkez,Erkek,299,1050,15892,20208,10585,25926,18286,2027,742,129,95144
2,Afyonkarahisar,Afyonkarahisar Merkez,Kadın,3532,4578,31837,16159,7599,19829,14501,1448,334,170,99987
3,Afyonkarahisar,Afyonkarahisar Merkez,Toplam,3831,5628,47729,36367,18184,45755,32787,3475,1076,299,195131
5,Afyonkarahisar,Başmakçı,Erkek,45,92,1458,724,341,838,311,18,1,10,3838
6,Afyonkarahisar,Başmakçı,Kadın,253,397,1750,647,191,506,212,11,3,10,3980
7,Afyonkarahisar,Başmakçı,Toplam,298,489,3208,1371,532,1344,523,29,4,20,7818
9,Afyonkarahisar,Bayat,Erkek,50,130,870,558,356,557,232,16,2,15,2786
10,Afyonkarahisar,Bayat,Kadın,275,452,994,478,196,330,157,8,1,18,2909
11,Afyonkarahisar,Bayat,Toplam,325,582,1864,1036,552,887,389,24,3,33,5695
13,Afyonkarahisar,Bolvadin,Erkek,82,288,3926,2071,1787,4376,2289,165,22,172,15178
14,Afyonkarahisar,Bolvadin,Kadın,731,1086,7032,1981,1175,2487,1222,75,14,156,15959
15,Afyonkarahisar,Bolvadin,Toplam,813,1374,10958,4052,2962,6863,3511,240,36,328,31137
17,Afyonkarahisar,Çay,Erkek,57,242,3298,1834,1502,2912,1356,108,11,21,11341
18,Afyonkarahisar,Çay,Kadın,767,1163,5178,1191,944,1915,1005,58,7,21,12249
19,Afyonkarahisar,Çay,Toplam,824,1405,8476,3025,2446,4827,2361,166,18,42,23590
21,Afyonkarahisar,Çobanlar,Erkek,41,85,1155,1409,586,1029,191,8,2,2,4508
22,Afyonkarahisar,Çobanlar,Kadın,574,505,1715,937,293,370,101,6,1,1,4503
23,Afyonkarahisar,Çobanlar,Toplam,615,590,2870,2346,879,1399,292,14,3,3,9011
25,Afyonkarahisar,Dazkırı,Erkek,15,91,1252,677,458,1076,524,37,4,9,4143
26,Afyonkarahisar,Dazkırı,Kadın,102,451,1822,630,251,657,408,9,0,8,4338
27,Afyonkarahisar,Dazkırı,Toplam,117,542,3074,1307,709,1733,932,46,4,17,8481
29,Afyonkarahisar,Dinar,Erkek,182,436,4943,2068,1955,4683,2335,165,13,114,16894
30,Afyonkarahisar,Dinar,Kadın,1465,1553,7034,2146,1236,2912,1524,95,13,105,18083
31,Afyonkarahisar,Dinar,Toplam,1647,1989,11977,4214,3191,7595,3859,260,26,219,34977
33,Afyonkarahisar,Emirdağ,Erkek,195,537,5138,1805,1150,2742,1391,108,12,532,13610
34,Afyonkarahisar,Emirdağ,Kadın,1326,1586,5706,1628,661,1759,995,70,7,514,14252
35,Afyonkarahisar,Emirdağ,Toplam,1521,2123,10844,3433,1811,4501,2386,178,19,1046,27862
37,Afyonkarahisar,Evciler,Erkek,13,61,971,408,304,690,243,25,1,18,2734
38,Afyonkarahisar,Evciler,Kadın,159,365,1210,338,242,390,147,9,0,23,2883
39,Afyonkarahisar,Evciler,Toplam,172,426,2181,746,546,1080,390,34,1,41,5617
41,Afyonkarahisar,Hocalar,Erkek,42,144,1620,509,352,593,230,23,1,43,3557
42,Afyonkarahisar,Hocalar,Kadın,456,343,1858,441,129,344,179,4,1,45,3800
43,Afyonkarahisar,Hocalar,Toplam,498,487,3478,950,481,937,409,27,2,88,7357
45,Afyonkarahisar,İhsaniye,Erkek,104,256,2911,2833,1179,1906,600,50,5,10,9854
46,Afyonkarahisar,İhsaniye,Kadın,791,766,4471,2152,450,966,403,12,4,7,10022
47,Afyonkarahisar,İhsaniye,Toplam,895,1022,7382,4985,1629,2872,1003,62,9,17,19876
49,Afyonkarahisar,İscehisar,Erkek,68,193,2308,2354,1014,1657,636,40,3,5,8278
50,Afyonkarahisar,İscehisar,Kadın,635,636,3299,1875,415,932,476,26,5,6,8305
51,Afyonkarahisar,İscehisar,Toplam,703,829,5607,4229,1429,2589,1112,66,8,11,16583
53,Afyonkarahisar,Kızılören,Erkek,9,50,403,106,93,172,74,6,1,11,925
54,Afyonkarahisar,Kızılören,Kadın,127,232,415,110,50,83,48,0,0,11,1076
55,Afyonkarahisar,Kızılören,Toplam,136,282,818,216,143,255,122,6,1,22,2001
57,Afyonkarahisar,Sandıklı,Erkek,165,619,6372,2811,2147,4766,2475,172,18,146,19691
58,Afyonkarahisar,Sandıklı,Kadın,1417,1785,9684,2727,1136,2970,1615,94,12,124,21564
59,Afyonkarahisar,Sandıklı,Toplam,1582,2404,16056,5538,3283,7736,4090,266,30,270,41255
61,Afyonkarahisar,Sinanpaşa,Erkek,117,487,5122,3323,1910,2968,758,42,5,61,14793
62,Afyonkarahisar,Sinanpaşa,Kadın,1316,1455,7095,2636,847,1268,535,17,4,73,15246
63,Afyonkarahisar,Sinanpaşa,Toplam,1433,1942,12217,5959,2757,4236,1293,59,9,134,30039
65,Afyonkarahisar,Sultandağı,Erkek,24,101,1791,521,899,1918,693,48,4,16,6015
66,Afyonkarahisar,Sultandağı,Kadın,362,744,2858,553,629,1073,428,18,2,17,6684
67,Afyonkarahisar,Sultandağı,Toplam,386,845,4649,1074,1528,2991,1121,66,6,33,12699
69,Afyonkarahisar,Şuhut,Erkek,103,428,4601,2717,1479,2875,1120,111,12,21,13467
70,Afyonkarahisar,Şuhut,Kadın,766,1294,6820,2018,765,1692,813,51,7,29,14255
71,Afyonkarahisar,Şuhut,Toplam,869,1722,11421,4735,2244,4567,1933,162,19,50,27722
1,Aksaray,Ağaçören,Erkek,76,227,1103,433,368,553,202,13,1,47,3023
2,Aksaray,Ağaçören,Kadın,484,439,1303,293,197,360,141,4,2,38,3261
3,Aksaray,Ağaçören,Toplam,560,666,2406,726,565,913,343,17,3,85,6284
5,Aksaray,Aksaray Merkez,Erkek,986,1937,19631,19194,9844,22574,13663,1566,412,1227,91034
6,Aksaray,Aksaray Merkez,Kadın,8045,4979,29245,16755,7256,17024,11156,828,247,1166,96701
7,Aksaray,Aksaray Merkez,Toplam,9031,6916,48876,35949,17100,39598,24819,2394,659,2393,187735
9,Aksaray,Eskil,Erkek,52,220,3146,2436,834,1342,593,56,6,5,8690
10,Aksaray,Eskil,Kadın,720,622,3891,1670,463,985,437,19,8,5,8820
11,Aksaray,Eskil,Toplam,772,842,7037,4106,1297,2327,1030,75,14,10,17510
13,Aksaray,Gülağaç,Erkek,139,252,2073,1691,1040,1103,266,10,6,179,6759
14,Aksaray,Gülağaç,Kadın,1035,612,2330,1360,503,650,167,6,3,141,6807
15,Aksaray,Gülağaç,Toplam,1174,864,4403,3051,1543,1753,433,16,9,320,13566
17,Aksaray,Güzelyurt,Erkek,41,155,1521,1096,530,567,156,16,2,61,4145
18,Aksaray,Güzelyurt,Kadın,323,384,1841,741,228,385,151,7,1,34,4095
19,Aksaray,Güzelyurt,Toplam,364,539,3362,1837,758,952,307,23,3,95,8240
21,Aksaray,Ortaköy,Erkek,182,478,3225,1639,1324,2607,1191,76,15,179,10916
22,Aksaray,Ortaköy,Kadın,1399,1208,4658,1334,843,1640,727,39,10,168,12026
23,Aksaray,Ortaköy,Toplam,1581,1686,7883,2973,2167,4247,1918,115,25,347,22942
25,Aksaray,Sarıyahşi,Erkek,33,112,556,219,274,397,138,14,1,46,1790
26,Aksaray,Sarıyahşi,Kadın,288,214,706,145,167,271,106,7,1,48,1953
27,Aksaray,Sarıyahşi,Toplam,321,326,1262,364,441,668,244,21,2,94,3743
29,Aksaray,Sultanhanı,Erkek,33,72,936,1241,346,554,143,15,4,2,3346
30,Aksaray,Sultanhanı,Kadın,436,269,1257,725,227,416,164,4,1,5,3504
31,Aksaray,Sultanhanı,Toplam,469,341,2193,1966,573,970,307,19,5,7,6850
1,Amasya,Amasya Merkez,Erkek,526,1157,10541,6932,4895,13903,9935,831,235,124,49079
2,Amasya,Amasya Merkez,Kadın,2825,3119,15895,6665,4296,11082,7821,526,155,178,52562
3,Amasya,Amasya Merkez,Toplam,3351,4276,26436,13597,9191,24985,17756,1357,390,302,101641
5,Amasya,Göynücek,Erkek,51,328,1548,577,433,768,317,13,3,2,4040
6,Amasya,Göynücek,Kadın,193,834,1714,573,271,395,167,5,3,7,4162
7,Amasya,Göynücek,Toplam,244,1162,3262,1150,704,1163,484,18,6,9,8202
9,Amasya,Gümüşhacıköy,Erkek,140,371,3068,1022,970,2032,1157,70,12,26,8868
10,Amasya,Gümüşhacıköy,Kadın,762,1249,4051,982,702,1250,746,44,9,36,9831
11,Amasya,Gümüşhacıköy,Toplam,902,1620,7119,2004,1672,3282,1903,114,21,62,18699
13,Amasya,Hamamözü,Erkek,33,64,574,180,165,305,143,6,1,2,1473
14,Amasya,Hamamözü,Kadın,131,205,704,203,104,180,73,1,0,3,1604
15,Amasya,Hamamözü,Toplam,164,269,1278,383,269,485,216,7,1,5,3077
17,Amasya,Merzifon,Erkek,197,489,6028,2999,2723,8103,5403,309,50,149,26450
18,Amasya,Merzifon,Kadın,1260,1569,9867,3137,2192,5952,3955,236,33,166,28367
19,Amasya,Merzifon,Toplam,1457,2058,15895,6136,4915,14055,9358,545,83,315,54817
21,Amasya,Suluova,Erkek,304,406,3852,2672,2275,5336,2261,129,11,58,17304
22,Amasya,Suluova,Kadın,1641,838,6312,2558,1591,3253,1500,87,8,64,17852
23,Amasya,Suluova,Toplam,1945,1244,10164,5230,3866,8589,3761,216,19,122,35156
25,Amasya,Taşova,Erkek,172,620,4258,1769,1352,2408,1150,85,14,58,11886
26,Amasya,Taşova,Kadın,1008,1587,5866,1289,968,1502,683,40,8,57,13008
27,Amasya,Taşova,Toplam,1180,2207,10124,3058,2320,3910,1833,125,22,115,24894
1,Ankara,Akyurt,Erkek,74,136,2478,2398,1419,3517,1373,98,12,38,11543
2,Ankara,Akyurt,Kadın,444,530,4052,1903,883,2429,1014,53,4,38,11350
3,Ankara,Akyurt,Toplam,518,666,6530,4301,2302,5946,2387,151,16,76,22893
5,Ankara,Altındağ,Erkek,1022,1868,25300,22725,15868,37087,19983,2021,344,1282,127500
6,Ankara,Altındağ,Kadın,7147,6586,38433,17380,10643,29785,17190,1627,230,1168,130189
7,Ankara,Altındağ,Toplam,8169,8454,63733,40105,26511,66872,37173,3648,574,2450,257689
9,Ankara,Ayaş,Erkek,26,94,1478,486,682,1320,667,52,4,16,4825
10,Ankara,Ayaş,Kadın,150,266,2332,385,477,881,468,28,5,10,5002
11,Ankara,Ayaş,Toplam,176,360,3810,871,1159,2201,1135,80,9,26,9827
13,Ankara,Bala,Erkek,142,204,2704,1282,1164,1916,591,53,1,95,8152
14,Ankara,Bala,Kadın,989,812,2861,731,584,956,333,18,5,71,7360
15,Ankara,Bala,Toplam,1131,1016,5565,2013,1748,2872,924,71,6,166,15512
17,Ankara,Beypazarı,Erkek,121,316,5410,2147,1880,5040,2842,150,22,44,17972
18,Ankara,Beypazarı,Kadın,841,1193,7638,1848,1240,3607,2241,110,14,51,18783
19,Ankara,Beypazarı,Toplam,962,1509,13048,3995,3120,8647,5083,260,36,95,36755
21,Ankara,Çamlıdere,Erkek,134,141,1089,344,353,889,305,14,1,21,3291
22,Ankara,Çamlıdere,Kadın,717,310,1147,246,204,471,142,3,4,26,3270
23,Ankara,Çamlıdere,Toplam,851,451,2236,590,557,1360,447,17,5,47,6561
25,Ankara,Çankaya,Erkek,707,1681,19866,12716,18243,84219,134863,29735,11088,3146,316264
26,Ankara,Çankaya,Kadın,6805,7261,41006,10469,20561,94772,137180,28055,9583,3826,359518
27,Ankara,Çankaya,Toplam,7512,8942,60872,23185,38804,178991,272043,57790,20671,6972,675782
29,Ankara,Çubuk,Erkek,397,486,7104,4857,3973,9742,4190,285,35,185,31254
30,Ankara,Çubuk,Kadın,2372,1514,10575,4494,2650,6921,2989,169,27,202,31913
31,Ankara,Çubuk,Toplam,2769,2000,17679,9351,6623,16663,7179,454,62,387,63167
33,Ankara,Elmadağ,Erkek,151,202,2526,2112,2073,6165,2627,133,12,71,16072
34,Ankara,Elmadağ,Kadın,1046,938,4430,1865,1548,4417,1816,103,16,88,16267
35,Ankara,Elmadağ,Toplam,1197,1140,6956,3977,3621,10582,4443,236,28,159,32339
37,Ankara,Etimesgut,Erkek,468,1065,16913,18710,16833,63701,66996,9748,1849,1065,197348
38,Ankara,Etimesgut,Kadın,4732,4838,36866,17362,15364,59352,57512,7387,1218,1270,205901
39,Ankara,Etimesgut,Toplam,5200,5903,53779,36072,32197,123053,124508,17135,3067,2335,403249
41,Ankara,Evren,Erkek,31,83,373,145,140,242,83,8,1,23,1129
42,Ankara,Evren,Kadın,157,244,387,88,73,173,56,2,2,31,1213
43,Ankara,Evren,Toplam,188,327,760,233,213,415,139,10,3,54,2342
45,Ankara,Gölbaşı,Erkek,182,403,5927,4884,4351,13121,12535,1940,658,298,44299
46,Ankara,Gölbaşı,Kadın,1632,1480,10244,4207,3300,11300,9959,1358,456,361,44297
47,Ankara,Gölbaşı,Toplam,1814,1883,16171,9091,7651,24421,22494,3298,1114,659,88596
49,Ankara,Güdül,Erkek,28,87,1410,294,437,760,303,26,3,40,3388
50,Ankara,Güdül,Kadın,299,354,1896,254,228,407,168,12,2,25,3645
51,Ankara,Güdül,Toplam,327,441,3306,548,665,1167,471,38,5,65,7033
53,Ankara,Haymana,Erkek,193,472,3751,2071,1167,2300,706,40,4,149,10853
54,Ankara,Haymana,Kadın,1289,1275,4092,1343,577,1206,425,24,8,107,10346
55,Ankara,Haymana,Toplam,1482,1747,7843,3414,1744,3506,1131,64,12,256,21199
57,Ankara,Kahramankazan,Erkek,111,230,3418,3343,2191,5619,2986,197,25,88,18208
58,Ankara,Kahramankazan,Kadın,777,810,5743,2702,1441,4024,2140,158,20,85,17900
59,Ankara,Kahramankazan,Toplam,888,1040,9161,6045,3632,9643,5126,355,45,173,36108
61,Ankara,Kalecik,Erkek,66,147,1730,511,608,1286,556,23,7,11,4945
62,Ankara,Kalecik,Kadın,470,486,2354,409,311,727,336,23,2,19,5137
63,Ankara,Kalecik,Toplam,536,633,4084,920,919,2013,892,46,9,30,10082
65,Ankara,Keçiören,Erkek,1464,3054,46240,41850,37310,111124,69275,6454,1226,2112,320109
66,Ankara,Keçiören,Kadın,13786,13033,85105,35425,29726,96069,61614,5366,708,2404,343236
67,Ankara,Keçiören,Toplam,15250,16087,131345,77275,67036,207193,130889,11820,1934,4516,663345
69,Ankara,Kızılcahamam,Erkek,173,250,2834,842,1088,3300,1440,102,9,105,10143
70,Ankara,Kızılcahamam,Kadın,1081,962,3611,878,599,2163,1017,64,8,149,10532
71,Ankara,Kızılcahamam,Toplam,1254,1212,6445,1720,1687,5463,2457,166,17,254,20675
73,Ankara,Mamak,Erkek,1471,2499,36014,37217,28929,74183,37171,2940,395,1600,222419
74,Ankara,Mamak,Kadın,12754,9808,62251,28430,19932,59362,33608,2470,281,1685,230581
75,Ankara,Mamak,Toplam,14225,12307,98265,65647,48861,133545,70779,5410,676,3285,453000
77,Ankara,Nallıhan,Erkek,124,342,3225,1264,1316,3195,1395,93,5,36,10995
78,Ankara,Nallıhan,Kadın,586,990,4942,1275,858,1877,960,47,4,48,11587
79,Ankara,Nallıhan,Toplam,710,1332,8167,2539,2174,5072,2355,140,9,84,22582
81,Ankara,Polatlı,Erkek,299,711,10516,5896,3922,13622,6950,507,65,407,42895
82,Ankara,Polatlı,Kadın,2403,2167,16127,4889,2997,10286,5824,395,54,443,45585
83,Ankara,Polatlı,Toplam,2702,2878,26643,10785,6919,23908,12774,902,119,850,88480
85,Ankara,Pursaklar,Erkek,185,376,7121,8023,6226,16780,8510,756,140,279,48396
86,Ankara,Pursaklar,Kadın,1516,1698,13165,7600,4720,13161,6715,406,36,252,49269
87,Ankara,Pursaklar,Toplam,1701,2074,20286,15623,10946,29941,15225,1162,176,531,97665
89,Ankara,Sincan,Erkek,834,1574,27161,32706,24232,62738,27731,1567,193,781,179517
90,Ankara,Sincan,Kadın,7951,6795,53047,27692,18049,46673,20091,906,133,868,182205
91,Ankara,Sincan,Toplam,8785,8369,80208,60398,42281,109411,47822,2473,326,1649,361722
93,Ankara,Şereflikoçhisar,Erkek,204,347,3169,1309,1481,3267,1646,140,16,420,11999
94,Ankara,Şereflikoçhisar,Kadın,1341,1320,3815,1012,1081,2382,1120,79,4,439,12593
95,Ankara,Şereflikoçhisar,Toplam,1545,1667,6984,2321,2562,5649,2766,219,20,859,24592
97,Ankara,Yenimahalle,Erkek,815,1520,26782,18340,20259,75152,76241,10764,2346,1466,233685
98,Ankara,Yenimahalle,Kadın,7738,6849,49053,15340,18529,70918,68929,9088,1591,1670,249705
99,Ankara,Yenimahalle,Toplam,8553,8369,75835,33680,38788,146070,145170,19852,3937,3136,483390
1,Antalya,Akseki,Erkek,9,201,1844,488,321,985,614,42,4,25,4533
2,Antalya,Akseki,Kadın,49,737,2511,331,164,516,335,23,9,34,4709
3,Antalya,Akseki,Toplam,58,938,4355,819,485,1501,949,65,13,59,9242
5,Antalya,Aksu,Erkek,63,631,7110,5749,2616,5908,2556,135,33,156,24957
6,Antalya,Aksu,Kadın,464,2825,8657,3939,1630,4061,2127,98,29,174,24004
7,Antalya,Aksu,Toplam,527,3456,15767,9688,4246,9969,4683,233,62,330,48961
9,Antalya,Alanya,Erkek,403,2004,23767,19841,10881,28616,16320,1222,279,1485,104818
10,Antalya,Alanya,Kadın,1641,7004,29126,15222,7901,22553,14119,912,151,1397,100026
11,Antalya,Alanya,Toplam,2044,9008,52893,35063,18782,51169,30439,2134,430,2882,204844
13,Antalya,Demre,Erkek,15,221,3784,1535,904,2151,1192,86,9,18,9915
14,Antalya,Demre,Kadın,106,923,4044,1175,624,1643,1038,53,3,22,9631
15,Antalya,Demre,Toplam,121,1144,7828,2710,1528,3794,2230,139,12,40,19546
17,Antalya,Döşemealtı,Erkek,46,288,4464,3783,2328,5966,3447,328,83,141,20874
18,Antalya,Döşemealtı,Kadın,304,1776,6337,3168,1694,4433,2997,218,60,126,21113
19,Antalya,Döşemealtı,Toplam,350,2064,10801,6951,4022,10399,6444,546,143,267,41987
21,Antalya,Elmalı,Erkek,58,376,6257,2106,1292,2698,1620,109,24,34,14574
22,Antalya,Elmalı,Kadın,398,1697,7280,1626,819,1966,1163,53,15,45,15062
23,Antalya,Elmalı,Toplam,456,2073,13537,3732,2111,4664,2783,162,39,79,29636
25,Antalya,Finike,Erkek,133,531,5745,3131,1638,4125,2427,181,19,78,18008
26,Antalya,Finike,Kadın,805,1495,6678,2352,1278,3426,1998,125,15,81,18253
27,Antalya,Finike,Toplam,938,2026,12423,5483,2916,7551,4425,306,34,159,36261
29,Antalya,Gazipaşa,Erkek,76,762,5752,2976,1741,4613,2735,178,22,82,18937
30,Antalya,Gazipaşa,Kadın,286,2347,6714,2044,1233,3802,2333,110,15,66,18950
31,Antalya,Gazipaşa,Toplam,362,3109,12466,5020,2974,8415,5068,288,37,148,37887
33,Antalya,Gündoğmuş,Erkek,50,311,1263,371,213,464,271,13,1,11,2968
34,Antalya,Gündoğmuş,Kadın,198,686,1451,312,113,266,131,7,3,8,3175
35,Antalya,Gündoğmuş,Toplam,248,997,2714,683,326,730,402,20,4,19,6143
37,Antalya,İbradı,Erkek,2,37,402,115,119,261,186,7,0,4,1133
38,Antalya,İbradı,Kadın,10,162,511,109,93,166,98,3,0,5,1157
39,Antalya,İbradı,Toplam,12,199,913,224,212,427,284,10,0,9,2290
41,Antalya,Kaş,Erkek,61,740,8646,3754,1856,4158,2500,191,30,145,22081
42,Antalya,Kaş,Kadın,223,2333,9373,2737,1016,2906,2172,158,18,130,21066
43,Antalya,Kaş,Toplam,284,3073,18019,6491,2872,7064,4672,349,48,275,43147
45,Antalya,Kemer,Erkek,90,290,2741,2406,1817,5261,2383,150,24,296,15458
46,Antalya,Kemer,Kadın,329,866,3074,1644,1159,3441,2080,116,21,357,13087
47,Antalya,Kemer,Toplam,419,1156,5815,4050,2976,8702,4463,266,45,653,28545
49,Antalya,Kepez,Erkek,876,2784,34109,39042,21197,54234,26777,1437,247,1211,181914
50,Antalya,Kepez,Kadın,6613,9195,50135,29253,15391,43447,24033,1093,178,1247,180585
51,Antalya,Kepez,Toplam,7489,11979,84244,68295,36588,97681,50810,2530,425,2458,362499
53,Antalya,Konyaaltı,Erkek,97,409,5042,4374,4229,17542,20545,2327,969,1000,56534
54,Antalya,Konyaaltı,Kadın,634,1543,8436,3463,3967,18210,19740,2263,689,1335,60280
55,Antalya,Konyaaltı,Toplam,731,1952,13478,7837,8196,35752,40285,4590,1658,2335,116814
57,Antalya,Korkuteli,Erkek,69,545,7858,2820,1842,4394,2412,192,24,62,20218
